publisher,wikidata identifier
Chazen Museum of Art,Q3666871
—,Q10941604
Emigre,Q528041
Emily Lowe Gallery,Q55183275
Enitharmon Press,Q5378977
Eric Doeringer,Q5386381
Eric Drooker,Q375369
Estrujenbank,Q5849776
European Photography,Q1376878
evil clown,Q2979768
Exit,Q130603817
Extrapool,Q1815376
Freddy Marshall Productions,Q107724728
Fabian Carlsson,Q5603099
human factor,Q117346259
Fakkeldij,Q113130926
Fine Art Society,Q1416883
Floating World Comics,Q130329290
Flying Fish Press,Q116199609
Foolscap Press,Q138379618
Forlag Ed,Q122921638
Wydawnictwo Format,Q16616750
Edition Fotohof,Q62477487
Four Walls Eight Windows,Q5475605
Frac des Pays de la Loire,Q28495401
Fraenkel Gallery,Q22022569
Franco Toselli,Q139516276
Frankfurter Kunstverein,Q1444994
Frans Masereel Centrum,Q2013317
Frans Masereel Centrum,Q2013317
Frith Street Gallery,Q51594301
Fruitmarket Gallery,Q4402028
FuturePress,Q130564315
Günter Brus,Q677218
Gagosian Gallery,Q2748031
Foksal Gallery,Q5464222
Denise René,Q515783
Galerie Der Spiegel,Q1491860
Galerie Krinzinger,Q115861120
MTL Gallery,Q56230194
Galerie St. Petri,Q3056436
Galerie St. Petri,Q3056436
Galerie auf Zeit,Q130247304
Galerie Der Spiegel,Q1491860
Taxispalais – Kunsthalle Tirol,Q104649105
Galerie nationale du Jeu de Paume,Q656296
Galerie nächst St. Stephan,Q19823294
Galleria Toselli,Q97097883
Gefn Press,Q138379624
Gemelli Press,Q138379625
GenderFail,Q60768529
Gene Beery,Q16104610
Gerd de Vries,Q134485126
Getty Research Institute,Q11203476
Gian Enzo Sperone,Q124353714
Hylaea,Q4138286
Gilsland Farm,Q126916028
Gimpel fils,Q3106676
Gingko Press,Q16977475
Granary Books,Q18150386
Granary Books,Q18150386
Hannah Simpson Grant,Q64759245
Gregory Sholette,Q112494992
Grenfell Press,Q110280182
Grizedale,Q5609757
Groninger Museum,Q1542668
Grove Press,Q3777164
Gudrun von Maltzan,Q97015279
Guy Schraenen,Q16729528
H. Hussey,Q76250323
H. Mayer,Q94277111
H. Weston,Q75727093
H. Weston,Q75727093
Hans-Peter Feldmann,Q471419
Hacker Art Books,Q111296079
Hal Bromm Gallery,Q81248036
Hallwalls,Q5643233
Hamilton Press,Q114673121
Hanuman Books,Q21082920
Harcourt,Q5654997
Harlekin Art,Q115861136
Harper Perennial,Q5663419
Harvard Art Museums,Q3783572
Hatje Cantz Verlag,Q1459524
Hatje Cantz Verlag,Q1459524
Heather Weston,Q72689009
Heavy Industry Publications,Q121300405
contemporary art,Q186030
Hedi Kyle,Q29167532
Hermetic Press,Q5741446
High press,Q137603830
Holiseventh Press,Q110280259
Hollander Workshop,Q110280289
Holly Solomon Gallery,Q96381183
Holos Gallery,Q112830042
"Holt, Rinehart, and Winston",Q21809817
Hosanna Press,Q138290547
Hossmann,Q47215176
Institute for Complexity Science and Advanced Computing,Q139780555
Institut Valencià d'Art Modern,Q1600831
Iguana Press,Q137430195
Impressions Gallery,Q16994774
Impronta Casa Editora,Q131157129
Insomniac Press,Q6038286
Interference Archive,Q18972133
International Print Center New York,Q6052565
International Society of Copier Artists,Q25080071
Israel Museum,Q46815
Ivorypress,Q2884367
Julian Crane,Q109339423
Julia Golden,Q117306914
J Prez,Q45391826
JRP-Ringier,Q15820566
JRP-Ringier,Q15820566
Jack Wendler,Q6115722
Jan van Eyck Academie,Q1682433
Novosimskoye,Q1063971
Jardín Publicaciones,Q131283135
Jardín Publicaciones,Q131283135
Jardín Publicaciones,Q131283135
Jared Soares,Q118247721
Jeffery Keedy,Q6175767
Jenny Hunter Groat,Q29192030
Johanna Drucker,Q6216361
John Dilnot,Q98761635
John Eric Broaddus,Q87298845
John Gibson Gallery,Q30253163
John Gossage,Q3181622
John Weber Gallery,Q72853809
Julia Arredondo,Q119981987
Jungle Garden Press,Q116870125
Jürgen Schweinebraden,Q1384403
Jårg Geismar,Q1714963
Keelye Hanmer,Q127340596
Kabinett für aktuelle Kunst,Q1720815
Kaiser Wilhelm Museum,Q1721563
Kamikaze Press,Q138379697
Jardín Publicaciones,Q131283135
Karen Baldner,Q95751534
Osthaus-Museum Hagen,Q314559
Kehrer Verlag,Q1737862
Kelpra Studio,Q110280543
"Kennedy & Sons, Fine Printers",Q95689149
Kent Fine Art,Q18636206
Kickshaws,Q6404383
King Library Press,Q138379701
Kunsthalle Düsseldorf,Q324658
Kunstmuseum Basel,Q194626
Kunstraum München,Q1792598
Kurt Wolff Verlag,Q16650804
Kuzū,Q104856823
Kyōto Shoin,Q11375605
Kölnischer Kunstverein,Q1559479
Bethanien,Q831173
The Accursed Share,Q3211379
Labyrinth Editions,Q138379706
"Landfall Press, Inc.",Q108525432
Lars Müller Publishers,Q1806301
Laura J Davidson,Q91635303
Laura Ratcliffe,Q6499336
Lebeer Hossmann,Q125520820
Lebeer Hossmann,Q125520820
Leeway Foundation,Q108439586
Leilei Guo,Q89735179
Leo Castelli Gallery,Q31407686
Les Presses du réel,Q3234892
Library of America,Q2428855
Library of the Printed Web,Q21592111
artist's book,Q1062404
LigoranoReese,Q18388705
Lilliput Press,Q138379717
The Limited Editions Club,Q109767544
Linda K. Johnson,Q42321854
Lindroth,Q21512980
Lion and Unicorn Press,Q138379722
Lisa Anne Auerbach,Q23418568
Lisson Gallery,Q6559193
Little brown mushrooms,Q111282816
Littoral Press,Q138379724
Liz Zanis,Q107278983
Lois Morrison,Q19802798
National Portrait Gallery,Q238587
Louise Levergneux,Q136451576
Louise Odes Neaderland,Q19519635
Louisiana Museum of Modern Art,Q1410617
Lucio Amelio,Q2773339
Sternberg Press,Q108280947
Mariano Bonomo,Q121597822
William M. Gilliland,Q92179079
Mike Meredith,Q88669973
Michael Peel,Q26207216
The MIT Press,Q73820
Maddy Rosenberg,Q6726673
Magnum Photos,Q372899
Malmö Konsthall,Q633078
Malmö Konsthall,Q633078
Manuel Tzoc,Q130477092
Marco Noire Editore,Q125525202
Maria Yoon,Q30322762
Marian Goodman Gallery,Q61745495
Marianne Boesky Gallery,Q51594553
Mark Addison Smith,Q129016867
Massachusetts Museum of Contemporary Art,Q588474
Massachusetts Museum of Contemporary Art,Q588474
Ediciones Vigía,Q28502771
Ediciones Vigía,Q28502771
Ediciones Vigía,Q28502771
Maten al Mensajero,Q29511039
Mathaf,Q1908321
Maureen Cummins,Q29452354
Maureen Cummins,Q29452354
Meadow Press,Q113510393
Festival Melbourne,Q5445722
The Middletown Press,Q29641526
Milwaukee Art Museum,Q325712
Minneapolis Institute of Art,Q1700481
Minnesota Center for Book Arts,Q6868183
My Days,Q6945233
Mishka Henner,Q6875557
The Monacelli Press,Q38133814
Monthly Review Press,Q19381835
Moonkosh Press,Q138379752
