publisher
"""Art for All"""
"""Greatest Hits"""
"""Il Diaframma/Canon"" Galleria e Libreria dell'immagine"
(c)acto
"(c)acto ; Creative Commons"
"(u)ls pocket no. 3 by (un)limited store editions"
"(un)limited store éditions"
"133 Line Press"
1508estudio
"1982 Future Akins"
"1984 Basler Druck- und Verlagsanstalt Basel, Switzerland"
1991
"3 Möven ; König"
"6 deacdes Books, ;"
"9 fev́rier"
":Andrea Navach"
"?ix Editorial"
@limonada.electrica
@ohdiosperro
@pantaloncillosdehombre
"A & W Visual Library"
"A Bee Press"
"A Martin Hartshorn Production"
"A New View Book"
"A Space"
"A-1 Waste Paper"
"A. & J. Wilde"
"A. Austin"
"A. Buyse"
"A. Bérubé"
"A. Caporaso : J. Lodge"
"A. Castelli"
"A. Chamberlain"
"A. Concato"
"A. Crawford"
"A. Demarais"
"A. Fessler"
"A. Fraser"
"A. George?  Women's Studio Workshop?"
"A. George?]"
"A. Gorny"
"A. Gray"
"A. Kaprow"
"A. Lorenz"
"A. Lóbez?"
"A. Martens"
"A. Michelson : Pyramid Atlantic"
"A. Nabarra-Piomelli"
"A. Olgiatti"
"A. Rosen : Visual Studies Workshop"
"A. Ruppersberg"
"A. Schmierbach"
"A. Sinift : Ebenezer Printers"
"A. Sinift?"
"A. Tacha"
"A. Verna"
"A. White Pub. Co."
"A. von Furstenberg"
"A.A. McLaren"
"A.G. Harris"
"A.P. Kennedy Jr."
"A.S. Iott"
"A.S. Lorenz"
"A2Z Press"
"ACME Gallery"
ADAC
"ADCO Enterprises"
ADD
"AEANFDC, Ambiente Elemento da Arte Nacional a Favor da Descolonização Cultural"
AQ-Verlag
"ARC, Musée d'art moderne de la ville de Paris"
"AVARIE, Artbooks Vuoti A Rendere International Edition"
"Aart van Barnevelt"
"Abecedarian Gallery"
"Ablegebrettern und Skizzenbüchern einer Handsetzerei"
Abrams
"Abrazo Ediciones"
"Absolute Zero Press"
"Acadia Summer Arts Program"
"Acadia Summer Arts Program ; available through D.A.P./Distributed Art Publishers"
"Accordion Productions"
"Ace Gallery"
"Actar Editorial"
"Actar Editorial ; Fundacio Pilar i Joan Miro"
"Actes Sud"
"Actes sud"
"Actionstraum 1"
Actualites
Adachi
"Addison Gallery of American Art"
"Addison Gallery of American Art, Phillips Academy"
"Adelaide, S. Aust. : Experimental Art Foundation"
"Adelina Cuberyan"
"Adelina von Fürstenberg"
"Adler Castillo"
"Adobe Press"
"Adrien Maeght"
"Adrien Maeght Editeur"
"Ag. Barabaras"
Agentzia
"Ahus, Sweden : Kalejdoskop"
"Air Press"
"Ajax Press"
"Akio Nagasawa Publishing"
"Akron Oh. : Emily H. Davis Art Gallery of the University of Akron [1976?]"
"Al Manar Éditions, Alain Gorius"
"Al Manar, Éditions Alain Gorius"
"Alacraña: Libros de Mano"
"Alain Buyse"
"Alan John Schmidt"
"Alberta Press"
"Alberto Weber"
"Albright-Knox Art Gallery"
"Albright-Knox Art Gallery :"
"Albright-Knox Art Gallery : CEPA Gallery"
"Albright-Knox Art Gallery ; CEPA Gallery"
"Albuquerque, New Mexico : Fresco Books / SF Design, [2015]"
"Alerta Grafica"
"Alex Appella"
"Alex Xavier Aceves Bernal"
"Alexanderríos"
"Alexis Arnold"
"Alexis Kawabonga"
"Alfonso Bató"
"Alfred A. Knopf"
"Alhambra Calif. : Cunningham Press 1969 t.p. 1962."
"Alhambra, Calif., Cunningham Press] 1962 [i.e. 1969]"
"Alice Austin"
"Alice M. Austin"
Alife
"Alis Cummings"
"Alis Cummings]"
"Alisa Banks"
"All'Insegna del Pesce d'Oro"
"All'insegna del pesce d'oro, 1967."
"Alleged Press/Damiani"
"Alleged Press/Damiani ; Distributed in the United States of America by: D.A.P."
Allerheiligenpresse
"Allison Cooke Brown"
"Allthumbs Press"
"Alluvium Press"
"Allworth Press"
"Allyson Mellberg"
"Aloe Vera Press"
"Alonso Garcés Ediciones, Marcela Caldas Editora y Ediciones Arte Dos Gráfico"
"Alyson Beaton"
"Aléa Remorqueur"
"Amandine Nabarra-Piomelli"
"Amaru Cartonera"
"Ambidiestro Taller-Editorial"
"American Federation of Arts"
"American distributor, Wittenborn"
"American distributor: Wittenborn"
"Amnesty International"
Amodulo
"Amonte ON: [s.n.] 2000"
"Amsterdam : Edition Multi Art Points 1976."
"Amsterdam ; New York, N.Y. : Rodopi, 2013."
"Amsterdam Netherlands : Kontexts Publications c1979."
"Amsterdam? : J. Elffers ; New York, NY : Distributed by Stewart, Tabori & Chang"
"Amy Borezo"
"Amy Chan"
"An edition for Cab Gallery"
"Ana Fernández"
"Ana Francotti"
"Anabas-Verlag G. Kämpf"
"Anales Coloniales"
"Analog Productions"
"Anatol AV und Filmproduktion ; Century Print. Co."
"Anders Tornberg Gallery"
"Anderson Gallery, School of the Arts, Commonwealth University"
"Anderson Ranch Arts Center"
"Anderson, Ritchie & Simon"
"Anderson, Ritchie, & Simon"
Anderson-Lovelace
"Andover Mass. : Addison Gallery of American Art Phillips Academy 1973."
"Andrew Eason"
"Andrew Fedynak"
"Anfibio grupo editor"
"Angela Lorenz"
"Angela Lorenz Artist Books"
"Angela Lorenz Artist Books (Bologna Italy : Italcards by fotometalgrafica)"
"Angie and Don Printing Co."
"Angélica María Zorrilla"
"Angélica María Zorrilla : Taller Arte Dos Gráfico"
"Ann Arbor : University of Michigan Museum of Art ; Berkeley : University of California Press, c2005."
"Ann Arbor, MI : University of Michigan Museum of Art, 2002."
"Ann Chamberlain"
"Ann Harakawa"
"Ann Kalmbach : Tatana Kellner"
"Ann Lovett"
"Ann Purcell"
"Ann Tyler"
"Anne Albertini"
"Anne Frank Stichting"
"Anne George"
"Anne-Valerie Gasc"
"Annemarie Verna"
"Annis Press for the Wellesley College Alumnae Association"
"Anny De Decker, W.W.S."
"Another Limited Rebellion"
"Another Ltd. Rebellion"
"Ante Projects"
"Anthology Editions"
"Anthony D'Offay ; Gianenzo Sperone"
"Anthony d'Offay"
"Anthony d'Offay Gallery"
"Anthony d'Offay Gallery : Printed for the Coracle Press"
"Anthony d'Offay Rizzoli."
"Anton Wurth"
"Apa Apa"
Aperture
"Aperture Foundation"
"Aperture Foundation, Inc. :"
"Aperture Foundation, Inc. : Magnum Foundation"
"Appearances Press"
Approches
"Apógrafos"
"Aram Han Sifuentes"
Arc
"Arc Artist Editions"
"Arcangel Surfware"
Archai
"Archaic Mess"
"Archetype Press, Art Center College of Design"
"Architectural Gallery, Moscow"
"Archive of Experimental and Marginal Art"
"Archive of Modern Conflict ; RM Verlag"
"Archwag Press"
"Arco d'Alibert edizioni d'arte ;"
"Ardea Arts"
"Argentina : la marca editora"
Argo
Argobooks
"Ari Marcopoulos"
"Arina Boyko"
"Arion Press"
"Arizona State University"
"Arlington Va. USA : Osbornbook 1988 (Washington D.C. : Pyramid Atlantic)"
"Arlington, Va. : K. Osborn"
"Arlington, Virginia, USA : Osbornbook; Washington, D.C. : Pyramid Atlantic"
"Armpit Press"
"Arne Wolf"
Arnolfini
Arriergarde
"Art & Language Press"
"Art & Project"
"Art & art"
"Art Farm"
"Art Gallery University of California Irvine"
"Art Gallery of Hamilton"
"Art Gallery of New South Wales ; National Gallery of Victoria"
"Art Gallery of Ontario"
"Art Gallery, University of California, Irvine"
"Art Institute of Chicago"
"Art Metrople"
"Art Metropole"
"Art Press"
"Art Publishers Inc. [Earl Bronsteen]"
"Art and Language Press"
"Art for All"
"Art for All : Nigel Greenwood"
"Art for All ; Konig Bros."
"Art in General"
Art-Language
"Art-Rite Pub. Co."
"Art-Rite Publishing Co."
"Art/Life Institute"
"Art/Life Institute]"
ArtEngine
"Artangel : Matt's Gallery"
"Artculture Resource Centre"
Arte-Correo
Arted
"Artes Gráficas Luis Pérez"
"Artichoke Yink Comics"
"Artichoke Yink Press"
"Artimo Foudation"
"Artimo-Gijs Stork"
"Artimo-Gijs Stork ; Distribution, D.A.P."
Artists
"Artists ;"
"Artists Book Works"
"Artists Press"
"Artists Press U. + R. Graf"
"Artists Representing Environmental Arts"
"Artists Space"
Artpolice
"Arts at the Center"
"Artsoli(t)(d)arité"
"Artspace Books"
"Artspace Books ; U.S. [distributor] Serpent's Tail c/o Consortium"
"Artspace Books ; U.S. distributor Serpent's Tail c/o Consortium"
Artspeak
"Artur Laperla y Marcos Morán"
"Ashley Tipton"
"Asociación Cultural Malavida"
"Assembling Press"
"Association française d'action artistique"
"Associação Chili Com Carne"
"Associação Chili Com Carne : Ruru Comix"
"Astro Artz"
"Astrolabio Editorial"
"Astrup Fearnley Museum of Modern Art"
"Asunción Casa Editora"
"Asuno Impreso"
"Asunto Impreso"
"Asunto Impreso Ediciones"
"Asunto Impreso Ediciones : VOX"
"Atala Vertiz Alba"
"Atelier Editions"
"Atelier Typographique Héros-Limite"
"Atelier des Grames"
"Ateliers Graff"
"Ateliers municipaux d'artistes"
"Atlanta : Nexus Press"
"Atlanta : Nexus Press 1993."
"Atlanta : Nexus Press ; NY, NY : Interplanetary Productions"
"Atlanta : Nexus Press ; New York : Interplanetary Productions c1992."
"Atlanta : Nexus Press c1986."
"Atlanta College of Art"
"Atlanta College of Art 30309"
"Atlanta College of Art?"
"Atlanta GA : Nexus ; Yarrow Scotland : Weproductions 2001."
"Atlanta GA : Nexus Press 1989."
"Atlanta GA : Nexus Press ; Rhinebeck NY : Space Heater Editions c1999."
"Atlanta GA : Nexus Press c2002."
"Atlanta GA : Timber Tone Publishing c1997:"
"Atlanta GA. : Nexus Press 2000."
"Atlanta GA: Elizabeth Castaldo c2013."
"Atlanta GA: Grant Hanna c2011."
"Atlanta Ga. : Atlanta College of Art 1981"
"Atlanta Ga. : Danielle McCoy 2015."
"Atlanta Ga. : MXPress [1998]"
"Atlanta Ga. : Nexus Press 1980."
"Atlanta Ga. : Nexus Press 1982."
"Atlanta Ga. : Nexus Press 1987."
"Atlanta Ga. : Nexus Press 1990."
"Atlanta Ga. : Nexus Press 1993."
"Atlanta Ga. : Nexus Press 1995."
"Atlanta Ga. : Nexus Press 1998."
"Atlanta Ga. : Nexus Press 1999."
"Atlanta Ga. : Nexus Press 2003."
"Atlanta Ga. : Nexus Press 2194 [i.e. 1994?] c1994."
"Atlanta Ga. : Nexus Press ; Santa Monica Calif. : Paradise Press c1986."
"Atlanta Ga. : Nexus Press [198-?]"
"Atlanta Ga. : Nexus Press [198-]"
"Atlanta Ga. : Nexus Press c1984."
"Atlanta Ga. : Nexus Press c1990."
"Atlanta Ga. : Nexus Press c1991."
"Atlanta Ga. : Nexus Press c1992."
"Atlanta Ga. : Nexus Press c1993."
"Atlanta Ga. : Nexus Press c1995."
"Atlanta Ga. : Nexus Press c1996."
"Atlanta Ga. : Press 63 Plus c1992."
"Atlanta Ga. : Printed at Nexus Press 1991."
"Atlanta Ga. : Sarah Nelson 2015."
"Atlanta Ga.: Nexus Press 1978?"
"Atlanta Ga.: Nexus Press 1995"
"Atlanta Ga.: Nexus Press [1995]"
"Atlanta School of Art"
"Atlanta, GA : Book Press?/Nexus Press"
"Atlanta, GA : Nexus Press"
"Atlanta, GA : Nexus Press ; Rhinebeck, NY : Space Heater Editions"
"Atlanta, GA : Nexus Press, 1987."
"Atlanta, GA : Nexus Press, c2002."
"Atlanta, GA. : Nexus Press, 2000."
"Atlanta, GA? : Book? Press : Nexus Press"
"Atlanta, Ga : Nexus Press, 2001."
"Atlanta, Ga. : Book? Press/Nexus Press"
"Atlanta, Ga. : Ice House Press"
"Atlanta, Ga. : Nexus Press"
"Atlanta, Ga. : Nexus Press ; Frankfurt am Main, Germany? : Unica T"
"Atlanta, Ga. : Nexus Press ; Place of publication not identified : Ice House Press"
"Atlanta, Ga. : Nexus Press, 1986."
"Atlanta, Ga. : Nexus Press, 1993."
"Atlanta, Ga. : Nexus Press, 1995."
"Atlanta, Ga. : Nexus Press, ©1987."
"Atlanta, Ga. : Press 63 Plus"
"Atlanta, Ga. : R. Laxson"
"Atlanta, Ga. ; Yarrow Scotland : Nexus Press in association with Weproductions"
"Atlanta, Georgia : Nexus Press"
"Atlantic Gallery"
"Atlas Press"
"Attack International"
"Au Fond de la Cour à Droite"
"Audrey Niffenegger"
"Audrey Wagner"
"Austin : University of Texas Press, 2006."
"Austin : University of Texas Press, 2009."
"Austin, Tex. : Mystical Places Press, c2002."
"Available through D.A.P."
"Aviary Press"
"Aya Press"
Azetaguia
Azeteguia
"B & D Press"
"B Porter ; Fa Ga Ga Ga"
"B-Khat Books"
"B. Brace"
"B. Chaplin"
"B. Dombrowski"
"B. Fox"
"B. Freeman"
"B. Gaver"
"B. Krakow Gallery"
"B. Lane"
"B. Marjora"
"B. Muffoletto"
"B. Nettles"
"B. Nolan"
"B. Patterson?"
"B. Paulot"
"B. Porter"
"B. Roux"
"B. Rugged Books"
"B. Schafroth"
"B. Schmidt-Heins"
"B. Spector"
"B. Tetenbaum"
"B. Wehr"
"B. Weiss ; National Museum of Women in the Arts"
"B.L. Nichols"
"B4 Pub"
BAS200
"BPI, Centre Georges Pompidou :"
"BWA Kielce"
"Back in Black Publishing"
"Baden : Lars Müller ; London : Springer [distributor], 2010."
"Badlands Unlimited"
"Badlands Unlimited ; Deste Foundation for Contemporary Art"
Bailiwik
"Balsa Gobovich"
"Baltimore MD : s.n.] 1991."
"Bantam Books"
Baobab
"Barbara Fahrner"
"Barbara Gladstone Gallery"
"Barbara Milman"
"Barbara Rosenthal"
"Barbarian Press"
"Barcelona : X. Anleo"
"Barcelona [Spain] : Tropèl edicions, [2012]"
"Barefoot Press"
"Bark Productions"
"Barrytown N.Y. : Space Heater Multiples 1984."
"Barwon and Brue"
Basboek
"Basilius Press ; Wittenborn, American distributor"
"Basilius Presse"
"Bates College Museum of Art ; Mary Ryan Gallery"
"Baton Rouge LA : K. Bravo [200-?]"
"Battersea Arts Centre"
"Bay Area Daddists"
"Bay Park Press"
"Bay Press"
"Beak Graft Graphics"
"Beata Wehr"
"Beatrice Coron"
"Beau Geste Press"
"Beau Geste Press : Libro Acción Libre"
"Beauty Marks Pub."
"Bec en l'air"
"Bedford Arts"
"Bedford Press"
"Bee Sting Press"
Bego
"Behzad Motebaheri"
"Beibi Creyzi Editorial"
"Beijing : Ullens Center for Contemporary Art ; London : Koenig Books, 2014."
