citedItemKey,n,refItemKey,method,confidence,review,refTitle,citationText
X79CB8BP,4,278G84HQ,substring,0.990,,The journal of artists' books JAB.,"The Journal of Artists' Books JAB. New York, NY: Interplanetary Productions, 1994. <http://newfirstsearch.oclc.org/dbname=WilsonSelectPlus;journal=1085-1461;screen=available;done=referer;FSIP>. no.36 (Fall 2014), pp.35-6."
X79CB8BP,5,KB2E34DZ,substring,0.990,,Artist/author : contemporary artists' books,"Lauf, Cornelia. Artist/author : Contemporary Artists’ Books. New York: American Federation of Arts, 1998. pp.50-51, 54."
X79CB8BP,6,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.121."
XCSC2N87,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.194."
XCSC2N87,2,JHBWPGKS,substring,0.990,,Sol LeWitt : artist's books,"LeWitt, Sol. Sol LeWitt: Artist’s Books. Sant’Eraclio di Foligno (Foligno): Viaindustriae, 2009. pp.50-53."
XCSC2N87,3,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.267, 272, 273, 431."
XDL8DE2V,1,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.236-237, 241."
XDL8DE2V,2,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.18."
XHDIB9RD,1,JV2JKULL,substring,0.990,,Various small books : referencing various small books by Ed Ruscha,"Taylor, Phil. Various Small Books: Referencing Various Small Books by Ed Ruscha. Cambridge, Massachusetts: MIT Press, 2013. pp.176, 188-189, 286."
XL5ECVPF,1,D2HD5CJR,substring,0.990,,Speaking of book art : interviews with British and American book artists,"Courtney, Cathy. Speaking of Book Art: Interviews with British and American Book Artists. Los Altos Hills, Calif: Anderson-Lovelace, 1999. pp. 94, 135."
XL5ECVPF,2,FAEUXXHV,substring,0.990,,Booktrek : selected essays on artists' books (1972-2010),"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. pp.163-164."
XP8YFKPR,1,T5WUKIXI,substring,0.990,,Multiples: the first decade; [catalogue],"Tancock, John L. Multiples: the First Decade; [Catalogue]. [Philadelphia]: [Philadelphia Museum of Art; distributed by Boston Book and Art, Boston], 1971. p.[78], fig.43"
XP9M2U3Q,1,DCLMEBVD,substring,0.990,,Allan Kaprow : a bibliography,"Kaprow, Allan. Allan Kaprow : a Bibliography. Milano: Mousse Pub., 2011. pp.5, 12, 62-65."
XP9M2U3Q,2,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.143 n6, 430."
XUXNQB4J,1,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.347-8."
XVFFMZT2,1,,none,0.000,,,Cited*:
XVFFMZT2,2,EYAM3MR5,substring,0.990,,Creating artists' books,"Bodman, Sarah. Creating Artists’ Books. New York: Watson-Guptill Publications, 2005. p.59."
XVFFMZT2,3,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.204."
XVFFMZT2,4,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.109-11, 110, 120 n.11, 162."
XVFFMZT2,5,STSHFPHF,substring,0.990,,Druckworks 1972-2012 : 40 years of books and projects,"Drucker, Johanna. Druckworks 1972-2012 : 40 Years of Books and Projects. 1st ed. Chicago, Ill.: Epicenter, Center for Book and Paper Arts, 2012. p.90."
XVFFMZT2,6,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.17."
XVFFMZT2,7,QEFHBIF4,substring,0.990,,Thread loves paper,"Marks, Emily. Thread Loves Paper. [Sonoma, Calif. ] : Emily Marks, 2012. p.61."
XVFFMZT2,8,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.367, 368, 369, 370, 371, 433."
XVFFMZT2,9,DHC5ATH7,substring,0.990,,Livres d'artistes,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. pp.104, 105."
XVFFMZT2,10,,none,0.000,,,"*Citations of A Humument are included in this record if the author is referring to the project in general, or to the 1st - Final (6th) trade editions specifically."
XYWFSLL2,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.108, 162."
YV3XHZFQ,1,DHC5ATH7,substring,0.990,,Livres d'artistes,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. p.127."
Z3TC8IEP,1,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.20."
Z8TZAPIY,1,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.219."
ZBY9BGV2,1,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.98."
ZBY9BGV2,2,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.338, 434."
ZBY9BGV2,3,FAEUXXHV,substring,0.990,,Booktrek : selected essays on artists' books (1972-2010),"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013 p.96, 227, 228."
ZBY9BGV2,4,MN3CW7FZ,substring,0.990,,Artists and their books - books and their artists,"Reed, Marcia, and Glenn Phillips. Artists and their books - books and their artists. Los Angeles: The Getty Research Institute, 2018. pp.158-159, 208."
ZF3UJ73X,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.190."
ZF3UJ73X,2,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.97, 426."
ZF3UJ73X,3,MN3CW7FZ,substring,0.990,,Artists and their books - books and their artists,"Reed, Marcia, and Glenn Phillips. Artists and their books - books and their artists. Los Angeles: The Getty Research Institute, 2018. pp.72-73, 205."
ZIKLIUXS,1,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.46, 96."
ZIKLIUXS,2,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.21, 434."
ZIKLIUXS,3,E8MAPXUI,substring,0.990,,Learn to read art: artists' books,"Tousley, Nancy, Felipe Ehrenberg, and Sally Alatalo. Learn to Read Art: Artists' Books. Hamilton, Ont: Art Gallery of Hamilton, 1990. p.10"
ZLF4BX44,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.38, 161."
ZTLPL5X3,1,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.79 n7, 425."
ZUBAKSXP,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.200."
ZUBAKSXP,2,DHC5ATH7,substring,0.990,,Livres d'artistes,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. p.38."
ZW723DS9,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.220."
ZW723DS9,2,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.353-354."
ZW723DS9,3,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.41, 159."
ZWNW6KQR,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.117, 163."
ZX6DJLD4,1,XUKZQZKP,substring,0.950,,Ajam Media Collective,"Ajam Media Collective. “Exhausted Geographies: Mapping the Dream of Pakistan in the Streets of Karachi,” November 13, 2015. https://ajammc.com/2015/11/12/exhausted-geographies-karachi/."
