creatorID,name,wikidata identifiers
645,Tatana Kellner,Q29219293
646,"Carrie Mae, 1953- Weems",
647,CEPA Gallery,
648,Johanna Drucker 1952-,
649,Granary Books (Firm),
650,Druckwerk (Press),
651,Hirsch Foundation,
652,Leandro Katz 1938-,
653,Nexus Press,
654,"Andrew, 1959- Forster",
655,Bill Burke 1943-,
656,Cay Sophie Rabinowitz,Q139347888
657,"Lewis, 1949- Koch",
658,Bruno Munari,
659,"Deborah, 1948- Small",
660,Maggie Jaffe,Q120411037
661,Ann Fessler,Q28815148
662,Christopher Wool,
663,"Mark, 1950- Lere",
664,Tony Rickaby,Q106694809
665,Irene Shwachman,Q109886311
666,"Michael, 1958- Klauke",
667,M. F. Porges,
668,Jas Duke,
669,Peter Lyssiotis,Q7175549
670,Vivienne Mehes,
671,Jacki Apple,Q19864805
672,Lawrence Weiner,
673,Carl Andre 1935-,
674,Sol LeWitt,Q168587
675,"Robert, 1931-2018 Morris",
676,"Seth, 1941-2013 Siegelaub",
677,"David, 1911-1960 Park",
678,"Paul Chadbourne, 1924-2004 Mills",
679,"Miriam, 1923-2015 Schapiro",
680,Walker Art Center,
681,Minnesota Center for Book Arts,
682,Holly E Anderson,Q117194721
683,"Roy, 1930-2007 De Forest",
684,"Barbara, 1948- Rosenthal",
685,Nathan Lyons,
686,Albright-Knox Art Gallery,
687,Philippe Hunt,Q131779645
688,Gail Rubini,
689,Vagrich Bakhchanyan,Q1754661
690,Norton Dodge,Q4164136
691,Paul Rutkovsky,
692,"Michael, 1951- Wilson",
693,Richard Grasby,
694,Nick Sloane,Q15836718
695,Paul Zelevansky,Q128792814
696,Telfer Stokes,Q21289855
697,Dieter Roth 1930-1998,
698,Richard (Radio journalist) Hamilton,
699,William and Noma Copley Foundation,
700,Enzo Cucchi,Q698306
701,Anthony d'Offay (Firm),
702,Amsterdam (Netherlands). Stedelijk Museum,
703,Wadsworth Atheneum,
704,Holly Metz,
705,Barbara Kruger 1945-,
706,"Alison, 1928-1993 Smithson",
707,David Horton,
708,"Paul, 1948- Berger",
709,Eleanor Antin,Q1325708
710,Judith Stein,
711,Robert Jacks,
712,Joost A. Romeu,
713,Carol Trantor,
714,Mary Kelly,
715,Susan Weil,
716,P. H. Polk,Q23022454
717,Pearl Cleage,Q7158070
718,Athina Tacha,Q4813388
719,Linn Underhill,Q105701036
720,Richard Nonas,Q2154642
721,Helen Douglas,
722,Tony Shafrazi,Q3531885
723,Lucio Pozzi,Q6697422
724,Joseph Gabe,
725,Mary Jean Kenton,Q113091957
726,Ann Chapman Scales,
727,Joyce Cutler–Shaw,Q94520431
728,Robert Mangold,Q686615
729,Ellen Lanyon,Q13560692
730,Michael Kirby,
731,Sylvia Plimack Mangold,Q7660986
732,Lucy R. Lippard,Q137115
733,Philip Perkis,Q107702389
734,Fernando Millán,
735,Poppy Johnson,
736,Bruce D. Kurtz,
737,Kamitz Tó,
738,Bloke Papelero Transhumante,
739,"Cristina, 1941- Peri Rossi",
740,"Gabriela, 1889-1957 Mistral",
741,"Chema, 1971- Cebolla",
742,Editorial Cornoque,
743,Jon (Artist) Martin,
744,Sonia (Writer of children's books) Díaz,
745,Voces de Mujeres (Project),
746,Eva Carot,
747,Cristinaperisgrau,
748,Publicaciones Humo,
749,Naming Books Publishing,
750,Ari Kiss,
751,Bruno Efímero,
752,Makuto Heyoka,
753,Ilo Studio,
754,Nave Obeso,
755,Marta Cartu,
756,"Gabriela, 1983- Contreras",
757,Feminismo Estrías Autogestión,
758,Claudia (Rodríguez Silva) Rodríguez,
759,Lucrecia Masson,Q138660141
760,Merma (Publisher),
761,COHITEPA Conexión,
762,Associação Chili Com Carne,
763,Lía Ramírez,
764,Planeta Gris Ediciones,
765,"Afonso, 1988- Ferreira",
766,Ruru Comix,
767,"Júlia, 1981- Barata",
768,Juan Ros,
769,David Tapia,
770,Óscar 1982- Sanz,
771,Teenage Thunder (Publisher),
772,Alvaro Nofuentes,
773,Laperla (Artist),
774,Marcos (Artist) Morán,
775,"Javier, 1969- Cejas",
776,Humano Derecho Radio,
777,UL Colectivo (Group of artists),
778,"Esteban, 1979- Hernández",
779,Ediciones Q3,
780,Ediciones Bezerrú,
781,Ediciones Valientes,
782,Claudia Mendoza Olivar,
783,Gerardo Mendoza Olivar,
784,Poetry Slam Sur,
785,Ediciones Trasnochadas,
786,Celinda Ojeda González,
787,María Perales,
788,Zainab Al-Mashat,
789,Sarah Alfarhan,
790,Pratt Institute,
791,Luisa Hiromi,
792,Escif,Q19801663
793,Hola Ediciones,
794,Colectivo Entramados (Group of artists),
795,Yaminay Chaudhri,
796,Magnolia Cartonera,
797,Lit ediciones,
798,Udli Editions,
799,"Sheryl, 1983- Oppenheim",
800,Small Editions (Firm),
801,Armando R. Freger,
802,"Dick, 1938-1998 Higgins",
803,"Wolf, 1932-1998 Vostell",
804,Leslie Bellavance,Q127603811
805,"Gary, 1954- Schneider",
806,Deborah Martin Kao,
807,Ellen Wallenstein,
808,Kane Mitchell,Q6361830
809,"Arturo, 1889-1947 Martini",
810,"Silvano, 1937- Scheiwiller",
811,Vanni Scheiwiller,Q3735441
812,"Carlo, 1906-1978 Scarpa",
813,Mel Bochner 1940-,
814,Judith Blumberg,
815,Susan Elizabeth King 1947-,
816,Carol Flax,Q50379424
817,Ricardo Bloch,
818,"Jenni, 1953- Lukač",
819,Tanya Guryel,
820,Jeanne Galatzer-Levy,
821,Ruth Surgal,
822,Chicago Women's Liberation Union,
823,Jane (Abortion service),
824,It's Going Down (Organization),
825,Adam Gnade,Q4679123
826,Daniel Gorostiaga,
827,Olaf Ladousse,
828,Carlos Camaleón,
829,Colectivo Virtual Room,
830,Pilar Barrios Manzano,
831,Sopapo,
832,Marta Mizuiro,
833,Colectivo Diatriba,
834,Constanzx Álvarez Castillo,
835,"Frank, 1987- Ocean",
836,Pamela Pecchio,
837,"Shinro, 1955- Ohtake",
838,Atlanta Committee for the Olympic Games,
839,"Christian, 1944- Boltanski",
840,Anhaltische Gemäldegalerie Dessau,
841,"David, 1972- Rees",
842,"Margaret, 1941- Kaufman",
843,Claire Van Vliet,Q5125339
844,Janus Press,
845,Octavian Eşanu,Q112482277
846,Akademie Schloss Solitude,
847,"Nils, 1966- Norman",
848,Stefan Kalmár,
849,Book Works (Organization),
850,Mr O,
851,"Alan, 1959- Rath",
852,Milagros Torre,
853,Bob Chaplin,
854,Rainer Ganahl,Q1697989
855,Amos Paul Kennedy Jr.,Q38668425
856,Terri Weifenbach,Q107693750
857,"Judy, 1944- Gelles",
858,Weproductions,
859,"Leonard, 1948- Koren",
860,蓋瑞·潘特,Q1351201
861,Debora Dancy,Q61719403
862,Joan Lyons 1937-,
863,Henrik Drescher,Q5716198
864,"Douglas, 1966- Gordon",
865,"Kiki, 1954- Smith",
866,PaceWildenstein (Firm),
867,Clarissa Sligh,Q18347825
868,Enrique Chagoya,Q1343964
869,City Lights Books,
870,Scott L. McCarney,
871,Elizabeth Lide,
