title,authors,zotero_item_id,google_books_id,google_books_url
"Me a mound","PictureBox, Inc; Hancock, Trenton; Gallery, James Cohan",9417,haZPAAAAMAAJ,https://books.google.com/books?id=haZPAAAAMAAJ
"Memory lapse","Meador, Clifton",9410,LA7PPAAACAAJ,https://books.google.com/books?id=LA7PPAAACAAJ
"Memory loss","McCarney, Scott; Workshop, Visual Studies",9312,b40DPQAACAAJ,https://books.google.com/books?id=b40DPQAACAAJ
"Memory loss","Nettles, Bea",9409,x8EWAAAACAAJ,https://books.google.com/books?id=x8EWAAAACAAJ
"Memory loss","McCarney, Scott; Workshop.|, Visual Studies",10239,b40DPQAACAAJ,https://books.google.com/books?id=b40DPQAACAAJ
"Memory of Al-Mutanabbi Street","Kermaire, Christine",9965,zwpqMwEACAAJ,https://books.google.com/books?id=zwpqMwEACAAJ
"Mi destino está en tus manos","Rueda, María; Castro, Marcos",15574,GHpongEACAAJ,https://books.google.com/books?id=GHpongEACAAJ
"Mi niña veneno en el jardin de las baladas del recuerdo : (2000-1996)","Tsuchiya, Tilsa",15097,c9fVtgAACAAJ,https://books.google.com/books?id=c9fVtgAACAAJ
"Michalis Pichler","Gilbert, Annette; Krümmell, Clemens; Pichler, Michalis |",15554,S-5lrgEACAAJ,https://books.google.com/books?id=S-5lrgEACAAJ
"Michalis Pichler","Gilbert, Annette; Krümmell, Clemens; Pichler, Michalis |",15554,_Y-PrgEACAAJ,https://books.google.com/books?id=_Y-PrgEACAAJ
Michigan,"Zellar, Brad; Soth, Alec",12547,MTYkmwEACAAJ,https://books.google.com/books?id=MTYkmwEACAAJ
"Microslides = Muestrarios : caja con papelitos para pájaros.","La Dïéresis (Firm)|",9923,c7dvngEACAAJ,https://books.google.com/books?id=c7dvngEACAAJ
Migrar,"Martínez Pedro, Javier; Mateo, José",9396,4ERFtwAACAAJ,https://books.google.com/books?id=4ERFtwAACAAJ
"Mill river, river mill : with associated music","Chaplin, Bob; Workshop, Visual Studies",9395,Z71PAQAAIAAJ,https://books.google.com/books?id=Z71PAQAAIAAJ
"Mine fields","Burke, Bill",15214,j9Y2AQAAIAAJ,https://books.google.com/books?id=j9Y2AQAAIAAJ
Mirage,"Barrett, Timothy; Eisenstadt, Eve; Schreier, Joshua",9389,ZyDARAAACAAJ,https://books.google.com/books?id=ZyDARAAACAAJ
"Mis tortillas para Valentina","Akhmadeeva, Ioulia",9841,merkoQEACAAJ,https://books.google.com/books?id=merkoQEACAAJ
"Misunderstandings : a theory of photography","Bochner, Mel",10014,nz3RKwAACAAJ,https://books.google.com/books?id=nz3RKwAACAAJ
"Mitogramas (1968-1976)","Millán, Fernando",9922,roovAQAAIAAJ,https://books.google.com/books?id=roovAQAAIAAJ
"Modern love","DeJong, Constance",9692,DzmwAAAAIAAJ,https://books.google.com/books?id=DzmwAAAAIAAJ
"Mood : potential.","Tonnard, Elisabeth; Books, J. A. B.",9369,wdfVYgEACAAJ,https://books.google.com/books?id=wdfVYgEACAAJ
Moogambo,"Shafrazi, Tony",9368,wQnZGAAACAAJ,https://books.google.com/books?id=wQnZGAAACAAJ
"Mother sun","Willoughby, Graham; Workshop, Visual Studies",9363,spmvAAAACAAJ,https://books.google.com/books?id=spmvAAAACAAJ
"Mother-son talk","Rebhan, Gail",15607,BqslAQAAIAAJ,https://books.google.com/books?id=BqslAQAAIAAJ
"Motivos persas","Vigía.|, Ediciones; Estévez Jordán, Rolando; Esenin, Sergeĭ; Hernández Milián, Juan Luis",9677,XRCtYgEACAAJ,https://books.google.com/books?id=XRCtYgEACAAJ
"Mrs Merryman's collection","Merryman, Anne; Soejima, Niki",9781,yGJ6MAEACAAJ,https://books.google.com/books?id=yGJ6MAEACAAJ
"Mrs Merryman's collection","Merryman, Anne; Soejima, Niki",9783,yGJ6MAEACAAJ,https://books.google.com/books?id=yGJ6MAEACAAJ
"Mujeres habitando un sueño de libertad","Colectivo Editorial de Mujeres en Prisión.|",9914,iCXsoAEACAAJ,https://books.google.com/books?id=iCXsoAEACAAJ
"Multiples: the first decade; [catalogue]","Tancock, John; Art.|, Philadelphia Museum of",9849,nvTkSAAACAAJ,https://books.google.com/books?id=nvTkSAAACAAJ
Museums,"Helmes, Scott",15606,C63UYgEACAAJ,https://books.google.com/books?id=C63UYgEACAAJ
"Mutually exclusive","Martin, Emily",12026,sTulPQAACAAJ,https://books.google.com/books?id=sTulPQAACAAJ
"My 9 migraine cures","Kellner, Tana; Kalmbach, Ann",14409,IB-NGAAACAAJ,https://books.google.com/books?id=IB-NGAAACAAJ
"My constant companion","Nettles, Bea",12050,P1CRtwAACAAJ,https://books.google.com/books?id=P1CRtwAACAAJ
"My life in The New York Times : an artist and his work","Bleckner, Ross",9720,qK81pwAACAAJ,https://books.google.com/books?id=qK81pwAACAAJ
"My life in the New York Times","Bleckner, Ross",9721,FhL9tgAACAAJ,https://books.google.com/books?id=FhL9tgAACAAJ
"My mother's book","Workshop.|, Visual Studies; Lyons, Joan",10124,ipVJAQAAIAAJ,https://books.google.com/books?id=ipVJAQAAIAAJ
"My mother's book","Lyons, Joan; Workshop, Visual Studies",12045,ipVJAQAAIAAJ,https://books.google.com/books?id=ipVJAQAAIAAJ
"My mother's coming to town.","Larson, Jill; Press, Nexus",12044,mlfMPAAACAAJ,https://books.google.com/books?id=mlfMPAAACAAJ
"Mystic places","Reed, Justin",11171,D4ningEACAAJ,https://books.google.com/books?id=D4ningEACAAJ
