itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,collections
3655,EXVACFS7,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Book as art VI: December 6, 1993-May 20, 1994, the National Museum of Women in the Arts, Washington, D.C.",,"1993-00-00 1993","The Museum","Washington, D.C.",,,,,,,,,,,,English,"Book as art VI","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3656,D2HD5CJR,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Speaking of book art : interviews with British and American book artists","ix, 241 p. : ill. ; 26 cm.","1999-00-00 1999",Anderson-Lovelace,"Los Altos Hills, Calif.",,,,,,,,978-0-9626372-5-4,,,,,"Speaking of book art",,,,,,,,,,"Reference resources"
3657,FQZJCLQ9,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Structure of the visual book",,"2003-00-00 2003","K. Smith Books","Rochester, NY",,,"Expanded 4th ed.",,,,,,,,,,,,,,,"Includes bibliographical references (pages 407-410) and indexes.; ID: VCU_ALMA21381169640001101",,,,,"Artists' books; Reference resources"
3658,67Y3RHK2,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The future of the book of the future: thoughts, images and artwork on the form of the book of the future presented in a s eries of ""work in progress"" exhibitions and publications until the 2000 / Gleber, Conrad.",,"1994-00-00 1994","University of Alaska Anchorage, University Gallery, Department of Art","Anchorage, Alaska",,,,,,,,,,,,English,"The future of the book of the future","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3659,KRVDR3PV,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The book on books on artists books",,"2013-00-00 2013","Everyday Press",London,,,"Second expanded edition.",,,,,0-9561738-8-8,,,,,,,,,,,,,,,"Reference resources"
3660,43RAPI3N,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The big book",,"2013-00-00 2013","Passenger Books",Berlin,,,,,,,,3-940215-13-9,,,,,,,,,,,,,,,"Reference resources"
3661,TA7Z89TE,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The artist publisher: a survey",,"1986-00-00 1986","Crafts Council Gallery",[London,,,,,,64,,,,,,English,"The artist publisher","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3662,SCC9PBT4,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The Artist & the book, 1860-1960, in western Europe and the United States.",,"1982-00-00 1982","Hacker Art Books","New York",,,,,,,,0-87817-277-7,,,,,,,,,,,,,,,"Reference resources"
3663,NL5FPSSU,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Text in the book format : book number 120",,"1995-00-00 1995","Keith A. Smith Books","Rochester, NY",,,"2nd ed.",,,,,0-9637682-3-9,,,,,"Text in the book format",,,,,,,,,,"Reference resources"
3664,YRZKT687,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Talking the boundless book: art, language, and the book arts: essays from Art & language, re-reading the boundless book / Alexander, Charles.",,"1995-00-00 1995","Minnesota Center for Book Arts","Minneapolis, Minn.",,,,,,144,,1-879832-09-7,,,,English,"Talking the boundless book","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3665,TZU6D5RQ,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Shu : reinventing books in contemporary Chinese Art","xiii, 119 p. : col. ill. ; 28 cm.","2006-00-00 2006","China Insitute Gallery, China Institute","New York",,,,,,,,978-0-9774054-0-4,,,,,Shu,,,,,,,,,,"Reference resources"
3666,CSFGXUQV,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Shape-shifting : transformations in the art of the book.","42 pages : illustrations ; 23 cm","1996-00-00 1996","Book Arts Slides Project, Dept. of Visual Arts, University of Northern Colorado","Greeley, Colo.",,,,,,,,,,,,,Shape-shifting,,,,,,,,,,"Reference resources"
3667,BQ99H8TS,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The Book stripped bare the book stripped bare : a survey of books by 20th century artists and writers, September 17-October 21, 1973 : an exhibition of books from the Arthur Cohen and Elaine Lustig Cohen Collection, supplemented by the Howard L. and Muriel Weingrow Fine Arts Library of Hofstra University, the Emily Lowe Gallery and the Hofstra University Library, Hofstra University, Hempstead, Long Island, N.Y.",,"1973-00-00 1973","Emily Lowe Gallery?","Hempstead, N.Y.",,,,,,,,,,,,,"The Book stripped bare the book stripped bare",,,,,,,,,,"Reference resources"
3668,STDFU267,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The book on books on artists books",,"2011-00-00 2011","Everyday Press",S.l.,,,,,,,,"978-0-9561738-4-3 0-9561738-4-5",,,,English,,"Open WorldCat",,,,,,,,,"Reference resources"
3669,M3JPD2MQ,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The book as art: artists' books from the National Museum of Women in the arts / Niffenegger, Audrey.",,"2006-00-00 2006","Princeton Architectural Press","New York",,,,,,192,,978-1-56898-609-8,,,,English,"The book as art","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3670,2GKQLXU9,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The book as art: artists' books from the National Museum of Women in the Arts / Drucker, Johanna,; 1952-",,"2011-00-00 2011","Princeton Architectural Press","New York",,,,,,208,,978-1-56898-992-1,,,,English,"The book as art","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3671,KF8JT4M9,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The avant-garde book, 1900-1945",,"1989-00-00 1989","Franklin Furnace","New York",,,,,,68,,,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3672,Z9II7D3M,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The art of the book and the book arts press: May 15 through July 15, 1994, Upper Arlington Municipal Center, Concourse Gallery.",,"1994-00-00 1994","Upper Arlington Cultural Arts Commission","Upper Arlington, Ohio",,,,,,,,,,,,English,"The art of the book and the book arts press","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3673,K86NASGW,journalArticle,"2019-07-30 19:26:39","2019-07-30 19:37:14","The Ampersand",,"1980-00-00 1980",,,,,,,,,,,0740-5804,,,English,,"Open WorldCat",,,,,"The Ampersand",,,,"Reference resources"
3674,2PCL8KS8,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","The Altered page :",,"1988-00-00 1988","Center for Book Arts","New York, NY (626 Broadway, New York, NY, 10012)",,,,,,,,,,,,English,"The Altered page","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3675,MJWXHUAG,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Temptations :",,"2002-00-00 2002","National Museum of Women in the Arts","Washington, D.C.",,,,,,26,,,,,,English,Temptations,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3676,SLL2JDFL,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Structure of the visual book",,"1984-00-00 1984","Visual Studies Workshop Press","Rochester, NY",,,"1st ed.",,,,,"089822036X (pbk.) :",,,,,,,,,,,,,,,"Reference resources"
3677,D9V4PP5M,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Something Else Press: an annotated bibliography",,"1983-00-00 1983",McPherson,"[New Paltz, NY]",,,,,,89,,0-914232-40-1,,,,English,"Something Else Press","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3678,UUKFCNG2,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Some zines: American alternative & underground magazines, newsletters & APAs",,"1992-00-00 1992","Dept. of English, Boise State University","Boise, Id.",,,,,,53,,0-916272-56-7,,,,English,"Some zines","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3679,NN8ZFZNF,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Reading the object : three decades of books","108 pages : color illustrations ; 31 cm","2016-00-00 2016","Flying Fish Press","Oakland, California",,,,,,,,,,,,,"Reading the object",,,,,,,,,,"Reference resources"
3680,Q4UQLA6T,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Poésure et peintrie: ""d'un art, l'autre"": Centre de la Vieille Charité, 12 février 1993-23 mai 1993",,"1993-00-00 1993","[Marseille] : Musées de Marseille ; [Paris] : Réunion des musées nationaux : Distribution, Seuil",,,,,,,655,,2-7118-2767-4,,,,French,"Poésure et peintrie","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3681,TSX9BZU5,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","NSCAD, the Nova Scotia College of Art & Design",,"1982-00-00 1982","The Press of the Nova Scotia College of Art & Design","Halifax, N.S., Canada",,,,,,107,,0-919616-23-2,,,,,,"Library of Congress ISBN","NE2298 .N79 1982",,,,,,,,"Reference resources"
3682,IFPZ7AL8,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","No longer innocent : book art in America : 1960-1980",,"2005-00-00 2005","Distributed to the trade by D.A.P./Distributed Art Publishers","New York City",,,"1st ed.",,,,,"1887123717 (alk. paper)",,,,,"No longer innocent",,,,,,,,,,"Reference resources"
3683,LGJRG4AG,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Missing p[a]ges: Idaho & the book.",,"1994-00-00 1994","Idaho Center for the Book","Boise, ID",,,,,,,,,,,,English,"Missing p[a]ges","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3684,48953MRT,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Michalis Pichler","238 pages ; 31 cm","2015-00-00 2015","Printed Matters ;","New York, NY",,,"First edition.",,,,,978-3-95905-023-4,,,,,,,,,,,,,,,"Reference resources"
3685,8UFB9EAX,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Maurizio Nannucci, a la fin trouver le mot du commencement: Bibliothèque nationale de France/Paris editions 1966-1994: multiples, catalogues, livres d'artiste ... Galerie Colbert ... 29 juin-9 septembre 1994 / Moeglin-Delcroix, Anne.",,"1994-00-00 1994","Bibliothèque nationale de France",Paris,,,,,,,,,,,,French,"Maurizio Nannucci, a la fin trouver le mot du commencement","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
