uri,vocabularies,label_count,labels
http://id.loc.gov/authorities/subjects/sh2001006039,lcsh,1,Cancer in art
http://id.loc.gov/authorities/subjects/sh2001006436,lcsh,1,Staged photography
http://id.loc.gov/authorities/subjects/sh2001008478,lcsh,1,Photocopying in art
http://id.loc.gov/authorities/subjects/sh2001008552,lcsh,1,Plantations in art
http://id.loc.gov/authorities/subjects/sh2001010404,lcsh,1,"Art, Papua New Guinean"
http://id.loc.gov/authorities/subjects/sh2002000168,lcsh,1,Body image in art
http://id.loc.gov/authorities/subjects/sh2002000548,lcsh,1,"Art, Modern -- 21st century"
http://id.loc.gov/authorities/subjects/sh2002000616,lcsh,1,Photobooths
http://id.loc.gov/authorities/subjects/sh2002000825,lcsh,1,Fathers and sons in art
http://id.loc.gov/authorities/subjects/sh2002000955,lcsh,1,Archaeology in art
http://id.loc.gov/authorities/subjects/sh2002004688,lcsh,1,AIDS (Disease) and art
http://id.loc.gov/authorities/subjects/sh2002004918,lcsh,1,"Sculpture, Modern -- 21st century"
http://id.loc.gov/authorities/subjects/sh2002007137,lcsh,1,"September 11 Terrorist Attacks, 2001 -- Anniversaries, etc"
http://id.loc.gov/authorities/subjects/sh2002008709,lcsh,1,Skin in art
http://id.loc.gov/authorities/subjects/sh2002010501,lcsh,1,Cabinets of curiosities
http://id.loc.gov/authorities/subjects/sh2003000224,lcsh,1,Nuns in art
http://id.loc.gov/authorities/subjects/sh2003001102,lcsh,1,Television and art
http://id.loc.gov/authorities/subjects/sh2003001210,lcsh,1,Altered books
http://id.loc.gov/authorities/subjects/sh2003001971,lcsh,1,Racism in museum exhibits
http://id.loc.gov/authorities/subjects/sh2003003059,lcsh,1,"Iraq War, 2003-2011"
http://id.loc.gov/authorities/subjects/sh2003003610,lcsh,1,Autobiographical memory in art
http://id.loc.gov/authorities/subjects/sh2003006307,lcsh,1,Marginalia in art
http://id.loc.gov/authorities/subjects/sh2003006467,lcsh,1,DNA data banks
http://id.loc.gov/authorities/subjects/sh2003006553,lcsh,1,"September 11 Terrorist Attacks, 2001, in art"
http://id.loc.gov/authorities/subjects/sh2003008599,lcsh,1,Art and the Internet
http://id.loc.gov/authorities/subjects/sh2003010713,lcsh,1,Voyeurism in art
http://id.loc.gov/authorities/subjects/sh2003010827,lcsh,1,Fear in art
http://id.loc.gov/authorities/subjects/sh2003011397,lcsh,1,Poetry and the Internet
http://id.loc.gov/authorities/subjects/sh2004000615,lcsh,1,Kites in art
http://id.loc.gov/authorities/subjects/sh2004003786,lcsh,1,"Art, Cuban -- 20th century"
http://id.loc.gov/authorities/subjects/sh2004006086,lcsh,1,Architecture -- History
http://id.loc.gov/authorities/subjects/sh2004007415,lcsh,1,"Wood-engraving, Tibetan"
http://id.loc.gov/authorities/subjects/sh2004014504,lcsh,1,Self-reliant living
http://id.loc.gov/authorities/subjects/sh2004014628,lcsh,1,Identity (Philosophical concept) in art
http://id.loc.gov/authorities/subjects/sh2005001287,lcsh,1,Intimacy (Psychology) in art
http://id.loc.gov/authorities/subjects/sh2005001314,lcsh,1,Drawing -- 21st century
http://id.loc.gov/authorities/subjects/sh2005001363,lcsh,1,"Art, German -- 21st century"
http://id.loc.gov/authorities/subjects/sh2005002478,lcsh,1,Nicotine addiction
http://id.loc.gov/authorities/subjects/sh2005002957,lcsh,1,Motorcycles in art
http://id.loc.gov/authorities/subjects/sh2005004886,,1,Grand Canyon National Park (Ariz.)
http://id.loc.gov/authorities/subjects/sh2005005346,lcsh,1,Reading in art
http://id.loc.gov/authorities/subjects/sh2005007475,lcsh,1,Service stations in art
http://id.loc.gov/authorities/subjects/sh2005008058,lcsh,1,Sand dunes in art
http://id.loc.gov/authorities/subjects/sh2005020580,lcsh,1,Pulp painting
http://id.loc.gov/authorities/subjects/sh2006004255,lcsh,1,Sexual freedom
http://id.loc.gov/authorities/subjects/sh2006005409,lcsh,1,Grids (Crisscross patterns) in art
http://id.loc.gov/authorities/subjects/sh2006005978,lcsh,1,Cultural geography
http://id.loc.gov/authorities/subjects/sh2006007023,lcsh,1,Social media
http://id.loc.gov/authorities/subjects/sh2006007605,lcsh,1,Language and languages in art
http://id.loc.gov/authorities/subjects/sh2006007630,lcsh,1,Art and computers
http://id.loc.gov/authorities/subjects/sh2006007938,lcsh,1,Race in art
http://id.loc.gov/authorities/subjects/sh2006009091,lcsh,1,Photobooks
http://id.loc.gov/authorities/subjects/sh2007000403,lcsh,1,Libraries in art
http://id.loc.gov/authorities/subjects/sh2007002506,lcsh,1,Mental illness in art
http://id.loc.gov/authorities/subjects/sh2007003708,lcsh,1,Transgender people
http://id.loc.gov/authorities/subjects/sh2007004137,lcsh,1,Tanks (Military science) in art
http://id.loc.gov/authorities/subjects/sh2007005510,lcsh,1,Worms in art
http://id.loc.gov/authorities/subjects/sh2007007371,lcsh,1,iPhone (Smartphone)
http://id.loc.gov/authorities/subjects/sh2007010651,lcsh,1,Extraordinary rendition
http://id.loc.gov/authorities/subjects/sh2007010851,lcsh,1,Intermediality
http://id.loc.gov/authorities/subjects/sh2007010921,lcsh,1,Postcards in art
http://id.loc.gov/authorities/subjects/sh2007010924,lcsh,1,"Hurricane Katrina, 2005, in art"
http://id.loc.gov/authorities/subjects/sh2007100013,,1,United States -- Relations -- Latin America
http://id.loc.gov/authorities/subjects/sh2007100197,lcsh,1,African Americans -- Biography
http://id.loc.gov/authorities/subjects/sh2007100202,lcsh,1,African Americans -- Poetry
http://id.loc.gov/authorities/subjects/sh2007100313,,1,Mexico -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2007100575,lcsh,1,Artists -- United States -- Biography
http://id.loc.gov/authorities/subjects/sh2007100768,lcsh,1,American poetry -- 21st century
http://id.loc.gov/authorities/subjects/sh2007100928,lcsh,1,AIDS (Disease) -- Patients -- United States -- Biography
http://id.loc.gov/authorities/subjects/sh2007101031,lcsh,1,American prose literature -- 20th century
http://id.loc.gov/authorities/subjects/sh2007101130,lcsh,1,Animal welfare -- Fiction
http://id.loc.gov/authorities/subjects/sh2007101285,lcsh,1,Architecture -- Philosophy
http://id.loc.gov/authorities/subjects/sh2007101337,lcsh,1,Argentine literature -- 20th century
http://id.loc.gov/authorities/subjects/sh2007101354,lcsh,1,Art -- Periodicals
http://id.loc.gov/authorities/subjects/sh2007101370,lcsh,1,"Art, Modern -- 21st century -- Exhibitions"
http://id.loc.gov/authorities/subjects/sh2007101418,lcsh,1,Art -- Economic aspects
http://id.loc.gov/authorities/subjects/sh2007101460,lcsh,1,Artists' books -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2007101461,lcsh,1,"Art, Modern -- 20th century -- Periodicals"
http://id.loc.gov/authorities/subjects/sh2007101486,lcsh,1,Artists' books -- United States
