cluster,labels,include,conceptId,category,prefLabel,exactMatch,note
none|belsunce-marseille-france-buildings-structures-etc-pictorial-works,"Belsunce (Marseille, France) -- Buildings, structures, etc -- Pictorial works",y,belsunce-marseille-france-buildings-structures-etc-pictorial-works,geographic,"Belsunce (Marseille, France) -- Buildings, structures, etc -- Pictorial works",,auto-seeded draft; review
none|bengal-india-in-art,Bengal (India) -- In art,y,bengal-in,geographic-region,Bengal (India),,
http://id.loc.gov/authorities/subjects/sh2008114411,"Berlin (Germany) -- Buildings, structures, etc",y,berlin-germany-buildings-structures-etc,geographic,"Berlin (Germany) -- Buildings, structures, etc",,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh2008114414.,Berlin (Germany) -- Pictorial works,y,berlin-de,geographic-city,Berlin (Germany),,
none|bikini-atoll-marshall-islands,Bikini Atoll (Marshall Islands),y,bikini-atoll-mh,geographic-island,Bikini Atoll (Marshall Islands),,
none|biloxi-miss-in-art,Biloxi (Miss.) -- In art,y,biloxi-us,geographic-city,"Biloxi, Mississippi (United States)",,
none|bogot-colombia-pictorial-works,Bogotá (Colombia) -- Pictorial works,y,bogota-co,geographic-city,Bogotá (Colombia),,
http://id.worldcat.org/fast/1205549.,Bolivia,y,bolivia,geographic-country,Bolivia,,
http://id.loc.gov/authorities/subjects/sh93000607.,"Bowery (New York, N.Y. : Street)",y,manhattan-us,geographic-inhabited-place,"Manhattan (New York, United States)",,
http://id.worldcat.org/fast/1206830.,Brazil,y,brazil,geographic-country,Brazil,,
http://id.loc.gov/authorities/names/n79128015,Brazil,y,brazil,geographic-country,,,
http://id.worldcat.org/fast/1205761.,Brazil -- São Paulo,y,sao-paulo-br,geographic,São Paulo (Brazil),,
none|brazil-social-conditions-poetry,Brazil -- Social conditions -- Poetry,y,brazil-social-conditions-poetry,geographic,Brazil -- Social conditions -- Poetry,,auto-seeded draft; review
none|bristol-england-history,Bristol (England) -- History,y,bristol-england-history,geographic,Bristol (England) -- History,,auto-seeded draft; review
http://id.worldcat.org/fast/1211882.,British Columbia -- Vancouver,y,vancouver-ca,geographic-city,"Vancouver, British Columbia (Canada)",,
none|brockman-s-mount-kent-england-pictorial-works,"Brockman's Mount (Kent, England) -- Pictorial works",y,brockmans-mount-gb,geographic-landmass,"Brockman's Mount (Kent, England)",,
none|brockman-s-mount-kent-england-pictorial-works-exhibitions,"Brockman's Mount (Kent, England) -- Pictorial works -- Exhibitions",y,brockman-s-mount-kent-england-pictorial-works-exhibitions,geographic,"Brockman's Mount (Kent, England) -- Pictorial works -- Exhibitions",,auto-seeded draft; review
none|brooklyn-bridge-new-york-n-y-pictorial-works,"Brooklyn Bridge (New York, N.Y.) -- Pictorial works",y,brooklyn-bridge-us,geographic-structure,"Brooklyn Bridge (New York, United States)",,
none|brooks-range-alaska-photographs,Brooks Range (Alaska) -- Photographs,y,brooks-range,geographic-landmass,,,photgraphs is construction method
none|buenos-aires-argentina-miscellanea,Buenos Aires (Argentina) -- Miscellanea,y,buenos-aires-ar,geographic-city,,,
http://id.loc.gov/authorities/subjects/sh2008114518.,Buenos Aires (Argentina) -- Pictorial works,y,buenos-aires-ar,geographic-city,,,
none|byzantine-empire-in-art,Byzantine Empire -- In art,y,byzantine-empire,geographic-historical,Byzantine Empire,https://id.worldcat.org/fast/1209292,
http://id.worldcat.org/fast/1204928.,California,y,california,geographic,California,,auto-seeded draft; review
(OCoLC)fst01204928.,California,y,california,geographic,California,,auto-seeded draft; review
http://id.loc.gov/authorities/names/n79041717,California,y,california,geographic,California,,auto-seeded draft; review
(OCoLC)fst01204540,California - Los Angeles,y,california-los-angeles,geographic,California -- Los Angeles,,auto-seeded draft; review
none|california-emigration-and-immigration-social-aspects-fiction,California -- Emigration and immigration -- Social aspects -- Fiction,y,california-emigration-and-immigration-social-aspects-fiction,geographic,California -- Emigration and immigration -- Social aspects -- Fiction,,auto-seeded draft; review
