cluster,authorityURI,schemes,tags,recs,labels
fast|artists-books,,fast,650,11,Artists' books
http://id.loc.gov/authorities/subjects/sh85008302.,http://id.loc.gov/authorities/subjects/sh85008302.,lcsh lcgft,650,11,Artists' books
http://id.worldcat.org/fast/1121469.,http://id.worldcat.org/fast/1121469.,fast,650,11,Small presses
http://id.worldcat.org/fast/1176568.,http://id.worldcat.org/fast/1176568.,fast,650,11,Women
http://id.worldcat.org/fast/1181673.,http://id.worldcat.org/fast/1181673.,fast,650,11,Writing in art
http://id.worldcat.org/fast/1205916.,http://id.worldcat.org/fast/1205916.,fast,651,11,Colombia
http://id.worldcat.org/fast/1919741.,http://id.worldcat.org/fast/1919741.,fast,650,11,Politics and government
http://id.worldcat.org/fast/799558.,http://id.worldcat.org/fast/799558.,fast,650,11,African Americans
lcsh|toy-and-movable-books,,lcsh,650,11,Toy and movable books
lcsh|tunnel-books-specimens,,lcsh,650,11,Tunnel books -- Specimens
none|united-states,,,651,11,United States
http://id.loc.gov/authorities/subjects/sh2010107498.,http://id.loc.gov/authorities/subjects/sh2010107498.,lcsh,650,10,Pop-up books -- Specimens
http://id.loc.gov/authorities/subjects/sh85148656.,http://id.loc.gov/authorities/subjects/sh85148656.,lcsh,650,10,Writing in art
http://id.loc.gov/authorities/subjects/sh97001663.,http://id.loc.gov/authorities/subjects/sh97001663.,lcsh,650,10,Travel in art
http://id.worldcat.org/fast/1155639.,http://id.worldcat.org/fast/1155639.,fast,650,10,Travel in art
http://id.worldcat.org/fast/1204540.,http://id.worldcat.org/fast/1204540.,fast,651,10,California -- Los Angeles
http://id.worldcat.org/fast/1204623.,http://id.worldcat.org/fast/1204623.,fast,651,10,Great Britain
http://id.worldcat.org/fast/1205805.,http://id.worldcat.org/fast/1205805.,fast,651,10,Cuba
http://id.worldcat.org/fast/869145.,http://id.worldcat.org/fast/869145.,fast,650,10,"Comic books, strips, etc"
http://id.worldcat.org/fast/896093.,http://id.worldcat.org/fast/896093.,fast,650,10,Documentary photography
http://id.worldcat.org/fast/974250.,http://id.worldcat.org/fast/974250.,fast,650,10,Installations (Art)
lcsh|artists-books-england,,lcsh,650,10,Artists' books -- England
http://id.loc.gov/authorities/subjects/sh2007101486.,http://id.loc.gov/authorities/subjects/sh2007101486.,lcsh,650,9,Artists' books -- United States
http://id.loc.gov/authorities/subjects/sh85007581,http://id.loc.gov/authorities/subjects/sh85007581,lcsh,650,9,"Art, British"
