canonicalKey,cluster,rawLabel,normLabel,authority
Q63JTAT9,http://id.loc.gov/authorities/subjects/sh85064518.,Immigrants in art,immigrants-in-art,http://id.loc.gov/authorities/subjects/sh85064518
3MJU4XL3,http://id.loc.gov/authorities/subjects/sh85064628.,Imperialism,imperialism,http://id.loc.gov/authorities/subjects/sh85064628
4SER4VHI,http://id.loc.gov/authorities/subjects/sh85064628.,Imperialism,imperialism,http://id.loc.gov/authorities/subjects/sh85064628
KAN3EDID,http://id.loc.gov/authorities/subjects/sh85064628.,Imperialism,imperialism,http://id.loc.gov/authorities/subjects/sh85064628
ZV2B9FCC,http://id.loc.gov/authorities/subjects/sh85065270.,Indians of North America -- Folklore,indians-of-north-america-folklore,http://id.loc.gov/authorities/subjects/sh85065270
S4QU9XAW,http://id.loc.gov/authorities/subjects/sh85065689.,Individuality,individuality,http://id.loc.gov/authorities/subjects/sh85065689
3JFV2IWW,http://id.loc.gov/authorities/subjects/sh85066424,Initiation rites -- Religious aspects -- Christianity,initiation-rites-religious-aspects-christianity,http://id.loc.gov/authorities/subjects/sh85066424
CZE89VUA,http://id.loc.gov/authorities/subjects/sh85066706.,Insects in art,insects-in-art,http://id.loc.gov/authorities/subjects/sh85066706
H9WMRFHW,http://id.loc.gov/authorities/subjects/sh85066706.,Insects in art,insects-in-art,http://id.loc.gov/authorities/subjects/sh85066706
LDRCMRSX,http://id.loc.gov/authorities/subjects/sh85066717.,Insomnia,insomnia,http://id.loc.gov/authorities/subjects/sh85066717
NX5ZWM4B,http://id.loc.gov/authorities/subjects/sh85066717.,Insomnia,insomnia,http://id.loc.gov/authorities/subjects/sh85066717
XGSQQADE,http://id.loc.gov/authorities/subjects/sh85066719.,Inspiration,inspiration,http://id.loc.gov/authorities/subjects/sh85066719
8UEP33C8,http://id.loc.gov/authorities/subjects/sh85066731.,Installations (Art),installations-art,http://id.loc.gov/authorities/subjects/sh85066731
FWENDANN,http://id.loc.gov/authorities/subjects/sh85066731.,Installations (Art),installations-art,http://id.loc.gov/authorities/subjects/sh85066731
CURJF8T3,http://id.loc.gov/authorities/subjects/sh85067179.,Intelligence service -- United States,intelligence-service-united-states,http://id.loc.gov/authorities/subjects/sh85067179
3VINCA44,http://id.loc.gov/authorities/subjects/sh85067524.,Interstellar communication,interstellar-communication,http://id.loc.gov/authorities/subjects/sh85067524
Q3XELTDC,http://id.loc.gov/authorities/subjects/sh85067603.,Intimacy (Psychology),intimacy-psychology,http://id.loc.gov/authorities/subjects/sh85067603
V6G2QZ22,http://id.loc.gov/authorities/subjects/sh85067977.,Ireland -- Description and travel,ireland-description-and-travel,http://id.loc.gov/authorities/subjects/sh85067977
V6G2QZ22,http://id.loc.gov/authorities/subjects/sh85068048.,Ireland -- Social life and customs,ireland-social-life-and-customs,http://id.loc.gov/authorities/subjects/sh85068048
FI39J8BX,http://id.loc.gov/authorities/subjects/sh85068081,Irises (Plants) in art,irises-plants-in-art,http://id.loc.gov/authorities/subjects/sh85068081
63G4CRVN,http://id.loc.gov/authorities/subjects/sh85068283.,Irrigation,irrigation,http://id.loc.gov/authorities/subjects/sh85068283
63G4CRVN,http://id.loc.gov/authorities/subjects/sh85068296.,Irrigation engineering,irrigation-engineering,http://id.loc.gov/authorities/subjects/sh85068296
7DQDXGMM,http://id.loc.gov/authorities/subjects/sh85068816.,Italian literature,italian-literature,http://id.loc.gov/authorities/subjects/sh85068816
D75GLLMG,http://id.loc.gov/authorities/subjects/sh85069398.,Japan -- Description and travel,japan-description-and-travel,http://id.loc.gov/authorities/subjects/sh85069398
QJW8HWQH,http://id.loc.gov/authorities/subjects/sh85070391.,Jews -- Folklore,jews-folklore,http://id.loc.gov/authorities/subjects/sh85070391
9HS8JQQM,http://id.loc.gov/authorities/subjects/sh85071118.,Justice,justice,http://id.loc.gov/authorities/subjects/sh85071118
8Z5XF7GC,http://id.loc.gov/authorities/subjects/sh85072120.,Keyboards (Electronics),keyboards-electronics,http://id.loc.gov/authorities/subjects/sh85072120
ATXQXDCM,http://id.loc.gov/authorities/subjects/sh85072549.,Kissing,kissing,http://id.loc.gov/authorities/subjects/sh85072549
K2WSF32T,http://id.loc.gov/authorities/subjects/sh85072580.,Kites,kites,http://id.loc.gov/authorities/subjects/sh85072580
XS8JUKLN,http://id.loc.gov/authorities/subjects/sh85072580.,Kites,kites,http://id.loc.gov/authorities/subjects/sh85072580
3VINCA44,http://id.loc.gov/authorities/subjects/sh85072732.,"Knowledge, Theory of",knowledge-theory-of,http://id.loc.gov/authorities/subjects/sh85072732
6SAEFZ2Z,http://id.loc.gov/authorities/subjects/sh85072732.,"Knowledge, Theory of",knowledge-theory-of,http://id.loc.gov/authorities/subjects/sh85072732
7NNFWE7D,http://id.loc.gov/authorities/subjects/sh85073794.,Labyrinths in art,labyrinths-in-art,http://id.loc.gov/authorities/subjects/sh85073794
H7PA7HLA,http://id.loc.gov/authorities/subjects/sh85074423.,Landscapes in art,landscapes-in-art,http://id.loc.gov/authorities/subjects/sh85074423
EXLW2JAI,http://id.loc.gov/authorities/subjects/sh85074518.,Language and languages,language-and-languages,http://id.loc.gov/authorities/subjects/sh85074518
