cluster,authorityURI,schemes,tags,recs,labels
lcgft|poetry,,lcgft,655,17,Poetry | Poetry.
(OCoLC)fst01424028,(OCoLC)fst01424028,fast,655,16,Exhibition catalogs | Exhibition catalogs.
http://id.loc.gov/vocabulary/rbmscv/cv01435.,http://id.loc.gov/vocabulary/rbmscv/cv01435.,rbmscv,655,16,Handmade papers.
http://id.worldcat.org/fast/1423692.,http://id.worldcat.org/fast/1423692.,fast,655,16,Catalogs.
http://id.worldcat.org/fast/1423702.,http://id.worldcat.org/fast/1423702.,fast,655,16,Art.
rbmscv|limitation-statements,,rbmscv,655,16,Limitation statements
rbmscv|miniature-books,,rbmscv,655,16,Miniature books | Miniature books.
http://vocab.getty.edu/aat/300200572.,http://vocab.getty.edu/aat/300200572.,aat,655,15,Folded books.
https://id.loc.gov/authorities/genreForms/gf2014026098,https://id.loc.gov/authorities/genreForms/gf2014026098,lcgft,655,15,Exhibition catalogs.
(OCoLC)fst01423874,(OCoLC)fst01423874,fast,655,14,Pictorial works. | Pictorial works
http://id.loc.gov/authorities/genreForms/gf2014026197.,http://id.loc.gov/authorities/genreForms/gf2014026197.,lcgft,655,14,Toy and movable books.
http://id.worldcat.org/fast/1423689.,http://id.worldcat.org/fast/1423689.,fast,655,14,Photographs.
https://id.kb.se/term/ktg/NonFictionLiterature,https://id.kb.se/term/ktg/NonFictionLiterature,,655,14,Ej skönlitteratur
rbmscv|painted-bindings,,rbmscv,655,14,Painted bindings
fast|artists-books,,fast,655,13,Artists' books | Artists' books.
http://id.loc.gov/authorities/genreForms/gf2014026270.,http://id.loc.gov/authorities/genreForms/gf2014026270.,lcgft,655,13,Concrete poetry.
http://id.loc.gov/authorities/genreForms/gf2014026542.,http://id.loc.gov/authorities/genreForms/gf2014026542.,lcgft,655,13,Short stories.
http://id.worldcat.org/fast/1726570.,http://id.worldcat.org/fast/1726570.,fast,655,13,Concrete poetry.
http://vocab.getty.edu/aat/300178688.,http://vocab.getty.edu/aat/300178688.,aat,655 650,13,Screen prints.
local|american,,local,655,13,American
http://id.loc.gov/authorities/genreForms/gf2014026150.,http://id.loc.gov/authorities/genreForms/gf2014026150.,lcgft,655,12,Pop-up books.
http://vocab.getty.edu/aat/300068579.,http://vocab.getty.edu/aat/300068579.,aat,655,12,Cut-paper work.
aat|flip-books,,aat,655,11,Flip books. | Flip books
http://id.loc.gov/authorities/genreForms/gf2014026111.,http://id.loc.gov/authorities/genreForms/gf2014026111.,lcgft,655,11,Illustrated works.
http://id.loc.gov/authorities/genreForms/gf2014026170.,http://id.loc.gov/authorities/genreForms/gf2014026170.,lcgft,655,11,Sayings.
http://id.worldcat.org/fast/1411637.,http://id.worldcat.org/fast/1411637.,fast,655,11,Juvenile works.
http://id.worldcat.org/fast/1423792.,http://id.worldcat.org/fast/1423792.,fast,655,11,Quotations.
http://rdaregistry.info/termList/RDAMaterial/1025.,http://rdaregistry.info/termList/RDAMaterial/1025.,rdamat,340,11,paper
lcgft|accordion-fold-books,,lcgft,655,11,Accordion fold books.
lcgft|flip-books,,lcgft,655,11,Flip books.
aat|mail-art,,aat,655,10,Mail art | Mail art.
http://id.loc.gov/authorities/genreForms/gf2014026201.,http://id.loc.gov/authorities/genreForms/gf2014026201.,lcgft,655,10,Trivia and miscellanea.
http://vocab.getty.edu/aat/300041393.,http://vocab.getty.edu/aat/300041393.,aat,655,10,Linocuts (prints)
rbmscv|fanzines,,rbmscv,655,10,Fanzines
(OCoLC)fst01423828,(OCoLC)fst01423828,fast,655,9,Poetry. | Poetry
http://id.loc.gov/authorities/genreForms/gf2014026342.,http://id.loc.gov/authorities/genreForms/gf2014026342.,lcgft,655,9,Folk literature.
http://id.worldcat.org/fast/1423832.,http://id.worldcat.org/fast/1423832.,fast,655,9,Interviews.
local|british,,local,655,9,British
rbmscv|decorated-paper-bindings,,rbmscv,655,9,Decorated paper bindings
rbtyp|typefaces-type-evidence,,rbtyp,655,9,Typefaces (Type evidence)
(DE-576)433375485,(DE-576)433375485,gnd-content,655,8,Konferenzschrift
(DE-588)1071861417,(DE-588)1071861417,gnd-content,655,8,Konferenzschrift
(DE-627)826484824,(DE-627)826484824,gnd-content,655,8,Konferenzschrift
aat|folded-books,,aat,655,8,Folded books | Folded books.
aat|photocopies,,aat,655,8,Photocopies. | photocopies.
aat|postcards,,aat,655,8,Postcards. | Postcards
aat|screen-prints,,aat,655,8,Screen prints | Screen prints.
fast|specimens,,fast,655,8,Specimens | Specimens.
http://id.loc.gov/authorities/genreForms/gf2017027220,http://id.loc.gov/authorities/genreForms/gf2017027220,lcgft,655,8,Artists' books. | Artists' books
http://id.worldcat.org/fast/1411641.,http://id.worldcat.org/fast/1411641.,fast,655,8,Periodicals.
