canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
226R6HJK,3,true,3:226R6HJK; 2:NVUD4ZBX; 1:2LMUF9JJ,Far horizons,1998-00-00 1998,S. McCarney,"Rochester, NY",0-89822-123-4,,,,,,,,http://www.worldcat.org/oclc/874808214,"1 sheet :; Signed, dated, and numbered on verso. Title and all printed information is from a wrapper fitted around the folded sheet.; Printed one side, in a design resembling a quilt of 3x4 panels, cut to fold into a square.; ""All photographs ... are snapshots by the artist, scanned using a Nikon ScanTouch flatbed scanner, and pieced using Photoshop 4.0. Files were sent directly to film and printed in an edition of 500 in Rochester, New York on 80# Classic Crest Super Smooth Solar White cover. ... Produced at the Visual Studies Workshop Press as part of 'Landscape/Land Use', a collaborative arts project in Rochester, New York.""; Hay Star copy: No. 46, signed.",,Scott McCarney
LAJMTB2U,3,,3:LAJMTB2U; 2:EXTK2EZN,Far war,2006-00-00 2006,M. Ganzglass,"Brooklyn, NY",,,,,,,,,,ID: VCU_ALMA21440718420001101,,Marc Ganzglass
XMD55A9R,3,,3:XMD55A9R; 2:K9M7TBIX,Farbenlehre,1995-00-00 1995,Springer,Wien ; New York,978-3-211-82726-0,,German,,,,,,http://www.worldcat.org/oclc/845034750,,,Ferdinand Schmatz; Heimo Zobernig
KCYE4UMX,3,,3:KCYE4UMX,Farbwechsel,2013-00-00 2013,,,,,German,,,,,,http://www.worldcat.org/oclc/882977201,Additional WorldCat records available,,Ines von Ketelhodt
FVY24QBQ,3,,3:FVY24QBQ,"Faster, Jim",2002-00-00 2002,Hamilton Press,"Venice, Calif.",,,English,,,,,,http://www.worldcat.org/oclc/77748340,OCLC: 77748340,,Raymond Pettibon; Greg Colson; Francesca Gabbiani; Scott Grieger; Eddie Ruscha; Dani Tull; Todd Squires; Victor Gastelum; Ed Hamilton
6YTFE9MT,3,,3:6YTFE9MT; 2:VUI8QBTS,"Father of day, father of night",2000-00-00 2000,Galerie auf Zeit,Berlin,,,,16; 2,,,,,,"Watercolors incorporating handwritten text; all other text also handwritten by Michael Würzberger
Title from p. 2; half title on p. 1: Father of day, father of night / by Bob Dylan
""Edition--Galerie auf Zeit, März 2000.""
Introduction by Thomas Günther, ""Gott giesst die Zeit aus & Michael Würzberger erfindet seinen Zimmermann.""
Issued in slipcase, with 3 items laid in: translation of the introduction, ""God pours out time & Michael Würzberger invents his Zimmermann"", signed and dated ""Summer 2000""; photoportrait of Michael Würzberger; and poster advertising a concert by Bob Dylan in the Berlin Arena, 20 Oct. 2003",,Michael Würzberger; Thomas Günther; Bob Dylan; Galerie auf Zeit
I3VTQC8S,3,,3:I3VTQC8S; 2:EA44AINA,Father's garden,1989-00-00 1989,K. Campbell,Oxford,,,English,,,,,,http://www.worldcat.org/oclc/835314640,Additional WorldCat records available,,Ken Campbell
XLFDKVAA,3,,3:XLFDKVAA; 2:NPTBZJRV,Father's hook,1978-00-00 1978,Ken Campbell,Bath,,,English,,,,,,http://www.worldcat.org/oclc/17841178,,,Ken Campbell
E4NC7U8P,3,true,3:E4NC7U8P; 2:ZSVZF74S; 1:75ID8547,"Fatima, o, el Parque de la Fraternidad = Fatima of Fraternity Park",2011-00-00 2011,Ediciones Vigía,"Matanzas, Cuba",959-240-192-6,,,,,,,,,,,Miguel Barnet; Rolando Estévez Jordán; Laura Ruiz Montes
6Z6FG7WF,3,,3:6Z6FG7WF; 3:ZB8VSCFW,Fault Lines,2006-00-00 2006,,,,,,,,,,,[No Worldcat Record Available- 11/3/21],,,e Bond
