refKey,refTitle,bookKey,bookTitle,verbatim,decision,notes
BEGEG5AI,Artists books,ANLG9WWW,The Misfits,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.175.",no,
BEGEG5AI,Artists books,AR65J8BY,La vida desaventurada de Doña Carmen y Costanza = The Uneventful Life of Doña Carmen y Constanza,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.42-43.",no,
BEGEG5AI,Artists books,ATDK9QUI,Small gifts,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.164-165.",no,
BEGEG5AI,Artists books,B233R382,Beauty.Chaos,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.56-57.",no,
BEGEG5AI,Artists books,B4H52QX8,Homage to Motherhood: The Music of Life,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.118-119.",no,
BEGEG5AI,Artists books,BQ8H2SMM,The Adventuress,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.92-93.",no,
KK7KVWQT,Design Indaba,C6BEEM9G,Harvest: holding & trading,"Blassingame, Tia. ""The texture of racism & slavery in the United States – a talk."" Filmed September 2015 at Design Indaba Conference, Cape Town, South Africa. Video, 8:44. https://youtu.be/4Xz9RCGtR_M",no,
BEGEG5AI,Artists books,CGHU4KAL,Dinner with Mr. Dewey,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.187, 187-189.",no,
BEGEG5AI,Artists books,CPI8VCWA,Volo-volume (Flight-volume),"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.124.",no,
BEGEG5AI,Artists books,DLMADCM5,German Egypt,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.131.",no,
BEGEG5AI,Artists books,E2I7QRB5,Stones of Sorrow,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.61.",no,
BEGEG5AI,Artists books,EEXMYM76,The Snake,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.58.",no,
KK7KVWQT,Design Indaba,EFZP89B8,Slavery's historic house signs: in harvest II,"Blassingame, Tia. ""The texture of racism & slavery in the United States – a talk."" Filmed September 2015 at Design Indaba Conference, Cape Town, South Africa. Video, 8:44. https://youtu.be/4Xz9RCGtR_M",no,
BEGEG5AI,Artists books,EGUTVYB9,Rim,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.52.",no,
BEGEG5AI,Artists books,EQ4DP84N,How to talk about art,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.182.",no,
BEGEG5AI,Artists books,ETVTT4IX,The Beach: A Short Story,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.140-141.",no,
BEGEG5AI,Artists books,FGI58BRN,My mother's book,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.122.",no,
BEGEG5AI,Artists books,FSGBHJDV,My 9 migraine cures,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.68.",no,
BEGEG5AI,Artists books,FXFFKB4H,"Narratology: historical romance, sweet romance, science fiction, romantic suspense, supernatural, horror, sensual romance, adventure, thriller, glitz","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.174.",no,
BEGEG5AI,Artists books,GB3Y6BPF,Green Salad,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.84.",no,
BEGEG5AI,Artists books,GBRL2J6M,The Mexican Dog-Tosser,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.145.",no,
BEGEG5AI,Artists books,GURAG9JG,(Ho + go)² = it,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.100-101.",no,
BEGEG5AI,Artists books,H25R7RB9,Comment attirer les oiseaux: un livre,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.54-55.",no,
BEGEG5AI,Artists books,H7C82QJ4,Teatimes,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.63.",no,
