lib1Key,lib1Title,twinTitle,decision,notes
8XJXB9AT,Mis tortillas para Valentina,Mis tortillas para Valentina,,
2W3DHL2W,The grass is greener,The grass is greener,,
7L8GFYGW,Money,Money,same,
LQXW5G7I,The pink mat monster,The pink mat monster,same,
DHSN7NX8,For nothing changes -- yet and now 1998.,For nothing changes – yet and now 1998,,
9553SGM8,I found it when I stopped looking,I found it when I stopped looking,,
XN7E3NL2,Post colonial girl paper doll,Post colonial girl paper doll,,
EC6AIQC8,Lovelines in the nineties,Lovelines in the nineties : a book,,
6UZDCHMB,Perpetual motion,Perpetual motion,,
GH9T24ZP,Dirty,Dirty,,
49856SFS,Strip tease,Strip tease,,
MSNANC55,Me garden,Me garden,same,
23MVGN5E,The relative sizes and amounts of things,The relative sizes and amounts of things,,
ZJXPSGQQ,The epic love story of a warrior,The epic love story of a warrior,,
73H9JULE,Vision shifts,Vision shifts,,
4B4C4RQA,Intimita,Intimita,,
9PJI2BWE,E scapes 016,E scapes 016,,
4J8FT3DZ,Ladies first,Ladies first,,
N6MS49VS,Ayotochtli,Ayotochtli,same,
2D8EFSYK,De cuando no habia agua : cuento yaqui,De cuando no habia agua : cuento yaqui,same,
VPESHABB,Escribir pintado.,Escribir pintado.,,
F8S4EVT6,Lo feo = The ugly thing,Lo feo = The ugly thing,,
CYCELGIH,Radar,Radar,,
WLDPW9UN,El trabajo del hacha = The work of the axe,El trabajo del hacha = The work of the axe,,
R82T63HU,Swamp,Swamp,,
E36VNQW8,Floodgate companion,Floodgate companion,,
4YUX9JUH,LibroPhone,LibroPhone,,
H3N5KUVR,"Derechos de los animales : declaración universal de los derechos del animal, Liga internacional de los derechos del animal, Unesco, Onu, 1978","Derechos de los animales : declaración universal de los derechos del animal, Liga internacional de los derechos del animal, Unesco, Onu, 1978",,
RSWWW5IW,ReSound,ReSound,same,
QPZ27LPW,Riverine,Riverine,,
KJ6ZZLEF,Run book 4-8 : Edit,Run book 4-8 : Edit,,
QUSNUXUS,Especias,Especias,,
P4I22GHD,Brick wall,Brick wall,,
RZEMGHH9,Versus,Versus,unsure,i lean same they are two volumes but cataloged together and released together
SSNZ28IZ,"Drogas, sexo, rock 'n' roll.",Drugs sex rock 'n' roll,same,libtitle correct
95DIQBY8,A's Rosen war,A's Rosen war,,
EWDECAL8,Trumped up empathy.,Trumped up empathy.,same,
KCSPZPTW,Nancy Reagan is killing me,Nancy Reagan is killing me,same,
XUNKI7T4,Breathe.,Breathe,same,if author is Sherman
5HBRB528,Como construir um modelo vivo,Como construir um modelo vivo,,
SQEGRSTM,Tomorrow's man 4,Tomorrow's man 3,no,
G3BK2MZQ,Thank you for your interest in this subject,Thank you for your interest in this subject,,
KSV96YKT,Abstract browsing,Abstract browsing,,
RZ7ULMAX,Mis noches salvajes,Mis noches salvajes,,
47EWWGYW,Livro do desassossego: imrpovisações gráficas,Livro do desassossego: imrpovisações gráficas,,
8J6IA73L,Dossiê Cruzeiro do Sul = Southern Cross dossier,Dossiê Cruzeiro do Sul = Southern Cross dossier,,
YDMNTVJW,A new nothing,A new nothing,,
BAJEACPN,Dominion,Dominion,,
QD325LK6,INoN,INoN,,
Z4XGAWTT,Four red duotones,Four red duotones,,
QI3LNRFR,Look back,Look back,same,
QGDD9FGD,Facing,Facing,,
D82S64UT,"Joni Mabe's classic postcard book : from her museum of obsessions, personalities, & oddities.","Joni Mabe's classic postcard book : from her museum of obsessions, personalities, & oddities.",,
N5NIM2CV,B[backward e]o,B[backward e]o,,
72I5L86W,The Acme Theatre very great poets series anthology. vol. II,The Acme Theatre very great poets series anthology. vol. II,,
X8GT46UM,Exhausted geographies II,Exhausted geographies.,no,
BZN57E3A,Blurting in A&L : an index of blurts and their concatenation (the Handbook) constitutes a problematic ...,Blurting in A & L : an index of blurts and their concatenation (the Handbook) constitutes a problematic,,
M4L4B745,Blueprints,Blueprint,same,if author is Chun libtitle is correct
VGZFX4R6,Mourning/Warning. Numbers and repeaters,Mourning/Warning.,no,
UK4ALEJH,"Name, class, subject","Name, class, subject",,
K2JZRGUL,How to make flipbooks,How to make flipbooks,same,
MKPJRPYM,Ohio,Ohio,same,
TY57FHA8,I'm about to 'read' a photo book,I'm about to 'read' a photo book,,
