lib1Key,lib1Title,twinTitle,decision,notes
7ZETKSU7,Saca la cabeza y respira,Saca la cabeza y respira,,
437HJJRW,"En tierra, hilando vientos","En tierra, hilando vientos",same,
LKBCYY6R,Pequeñas cosas vuelven a ser insignificantes,Pequeñas cosas vuelven a ser insignificantes,,
35RT26RN,051272,051272,,
VLKEXY4L,Drowning.,Drowning.,,
BNX4NZCG,Escenario múltiple,Escenario múltiple,,
EZXJR27I,Problemas,Problemas,,
3475W58I,Googled English frontier deedbook,Googled English frontier deedbook,same,needs unique material tag
3YQT4G2T,An atlas of radical cartography,An atlas of radical cartography,,
NHG3LVCB,Time outs,Time outs,,
Z8XTQ87C,La veritat sobre el cas Manbaa Mokfhi = la verdad sobre el caso Manbaa Mokfhi = toute la vérité sur le cas Manbaa Mokfhi =the truth about the case of Manbaa Mokfhi,La veritat sobre el cas Manbaa Mokfhi = la verdad sobre el caso Manbaa Mokfhi = toute la vérité sur le cas Manbaa Mokfhi =the truth about the case of Manbaa Mokfhi,,
GR63RUQT,Los signos del zodiaco : doce textos,Los signos del zodiaco : doce textos,,
YTMMPSV5,The story of o.,The story of o.,,
MYI3QKVP,Retrospective,Retrospective,,
Y674F2JV,Paula Rae Gibson (fear I know not) I'll always walk away,Paula Rae Gibson (fear I know not) I'll always walk away,,
54B9KKC3,The king of things = El rey de las cosas,The king of things = El rey de las cosas,,
PGMABZSS,Corners,Corners,,
3L36U9YX,Memory loss,Memory loss,no,unless same author
NYLUKXKE,Complexities,Complexities,,
2XLRZGND,Grace's daughter,Grace's daughter,,
DXHKFESU,Knights of Assisi : a journey through the tarot,Knights of Assisi : a journey through the tarot,,
F95AQ7S7,Bad,Bad,,
6STZMJ5M,My constant companion,My constant companion,,
5IMTCWXD,Seasonal turns : four accordion books,Seasonal turns : four accordion books,,
24ICFDNJ,Mountain dream tarot : a deck of 78 photographic cards,Mountain dream tarot [flash card] : a deck of 78 photographic cards,,
W2E83SS4,Turning fifty,Turning fifty,,
5HEDP9TN,Flamingo in the dark : images,Flamingo in the dark : images,,
D9VQPSUU,Bobby : book nr. 100,Bobby : book number 100,same,
Z7E9RQD8,Analemmic : an equation of time,Analemmic : an equation of time,same,
P3N2IHVX,Otherspace : Martian ty/opography,Otherspace : martian ty/opography,,
S3PRV2XI,The circular ruins,The circular ruins,,
DP5Q7J4G,Nineteen nights in San Francisco,Nineteen nights in San Francisco,,
Q9FVYBSE,Groar! : (14 poemas-fósforo),Groar! : (14 poemas-fósforo),same,
GAD4GLLL,Si fueras--,Si fueras--,,
FGQXA465,Paulette me había dejado una nota en el buzón,Paulette me había dejado una nota en el buzón,,
RTHTYZE9,Mi niña veneno en el jardin de las baladas del recuerdo : (2000-1996),Mi niña veneno en el jardin de las baladas del recuerdo : (2000-1996),,
6QD6LFLP,Pirozzi : un invento argentino.,Pirozzi : un invento argentino.,,
U6KEP6KP,Siesta argentina,Siesta argentina,,
S42V8EBK,Caído del cielo,Caído del cielo,,
NXFZ7UE4,Adán,Adán,,
CLACMR53,"El cuello de tres picos, dos patos y pico ; La mesa está servida : ¿nos sentamos a la mesa? ; El desnudo entre tanto se mantiene ; Las visiones del hornero el cielo, alas","El cuello de tres picos, dos patos y pico ; La mesa está servida : ¿nos sentamos a la mesa? ; El desnudo entre tanto se mantiene ; Las visiones del hornero el cielo, alas",,
AJE8UGW7,"Versos sencillos, IX : (La niña de Guatemala)","Versos sencillos, IX : (La niña de Guatemala)",,
YUIPWEIK,Baja presión,Baja presión,,
5JVN6K8F,Serie anomalías,Serie anomalías,,
NI3UZLKS,Lotería fotográfica mexicana : cantada con refranes y coplas de la lírica popular,Lotería fotográfica mexicana : cantada con refranes y coplas de la lírica popular,,
C3KU9PZ5,Unravelling the ripple,Unravelling the ripple,,
WJI3MS2X,Rex reason,Rex reason,,
XSZNK8DL,Make everything new : a project on communism,Make everything new : a project on communism,,
7MFURWM7,It wasn't Little Rock,It wasn't Little Rock,,
6M5DVI7W,Shadowed memory,Shadowed memory,unsure,same if author is Grant or Hill
G4T6UY2M,Gray's brain,Gray's brain,same,
L3TS5FQB,The mission,The mission,,
3BQCQGHP,Das Lamm,Das Lamm,,
EJGSE7FM,The index,The index,,
QQE5ACCC,Trawling my North Shore mind,Trawling my North Shore mind,,
8S2NDJKF,Hours,Hours,,
7X2BWWRD,The jumblies,The jumblies,,
77LCCKPR,A reminder : an open book test,A reminder : an open book test,,
VLVKFL26,Lissen here!,Lissen here!,,
78ATIMKR,Ponderance,Ponderance,,
GGCQLDFC,Love,Love,,
9LQCEIZA,Auschwitz.,Auschwitz.,same,
