status,refKey,refTitle,bookKey,bookTitle,method,confidence,onPages,imagePages,verbatim
emitted,D2HD5CJR,Speaking of book art : interviews with British and American book artists,DB89L5FB,Aunt Sallie's lament,substring,0.990,208,,"Courtney, Cathy. Speaking of Book Art: Interviews with British and American Book Artists. Los Altos Hills, Calif: Anderson-Lovelace, 1999. p. 208."
emitted,STSHFPHF,Druckworks 1972-2012 : 40 years of books and projects,DB9NSLXG,Graphical investigations,substring,0.990,12,,"Drucker, Johanna. Druckworks 1972-2012 : 40 Years of Books and Projects. 1st ed. Chicago, Ill.: Epicenter, Center for Book and Paper Arts, 2012. p.12."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DBAXUZ5E,Sol,substring,0.990,435,,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. p.435."
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,DBX4NKQG,Unidentified non-flying objects,substring,0.990,151,,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.151."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DC7CRQPN,Compositions 1961,substring,0.990,436,,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. p.436."
emitted,FAEUXXHV,Booktrek : selected essays on artists' books (1972-2010),DC7CRQPN,Compositions 1961,substring,0.990,158,,"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. p.158."
emitted,STSHFPHF,Druckworks 1972-2012 : 40 years of books and projects,DCCHEYWY,The vegetable recipe book for children,substring,0.990,137,,"Drucker, Johanna. Druckworks 1972-2012 : 40 Years of Books and Projects. 1st ed. Chicago, Ill.: Epicenter, Center for Book and Paper Arts, 2012. p.137."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DCE7F2RF,Svolgere la propria pelle,substring,0.990,186,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.186."
emitted,BCG5FURQ,The century of artists' books,DCE7F2RF,Svolgere la propria pelle,substring,0.990,277-278,,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.277-278."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DCE7F2RF,Svolgere la propria pelle,substring,0.990,433,251,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.251, 433."
emitted,VH6DIY2I,"Book arts 2008, Bright Hill Literary Center",DCIU6MB3,Temptations of the frijolera pot = Tentaciones de la frijolera,substring,0.990,"9, 20",18,"Bright Hill Press North American Juried Book Arts Exhibition. Book Arts 2008, Bright Hill Literary Center. Treadwell, NY: Bright Hill Press, 2008. pp. 9, 18, 20."
emitted,L3HFQ2SA,Beyond the text : artists' books from the collection of Robert J. Ruben,DCSVMFNW,Sleepers awake.,substring,0.990,"7, 24-25",,"Ruben, Robert J. Beyond the Text: Artists' Books from the Collection of Robert J. Ruben. New York: Grolier Club, 2010. pp.7, 24-25.*"
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DD3SAB36,"Framing and being framed : 7 works, 1970-75",substring,0.990,195,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.195."
emitted,FAEUXXHV,Booktrek : selected essays on artists' books (1972-2010),DD3SAB36,"Framing and being framed : 7 works, 1970-75",substring,0.990,77,,"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. p.77."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DD9CP69Q,Details from the excavation of Wooster Street,substring,0.990,239,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.239."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DD9CP69Q,Details from the excavation of Wooster Street,substring,0.990,"311, 432",,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.311, 432."
emitted,QEFHBIF4,Thread loves paper,DDEZ56S3,Lab Ratties,substring,0.990,68-69,,"Marks, Emily. Thread Loves Paper. [Sonoma, Calif. ] : Emily Marks, 2012. pp.68-69."
emitted,7SFXCRS9,"The book made art : a selection of contemporary artists' books, exhibited in the Joseph Regenstein Library, the University of Chicago, February through April 1986",DDIH4MLG,The Endless Filmscript [drehbuch],substring,0.990,19,,"Abt, Jeffrey. The Book Made Art: a Selection of Contemporary Artists' Books, Exhibited in the Joseph Regenstein Library, the University of Chicago, February Through April 1986. Chicago: University of Chicago Library, 1986. p.19."
emitted,7YGZYJ5L,"Artists of the book, 1988 :",DDLJQSUR,A book of notes -- alum tawed skin and vellum,substring,0.990,36,,"Boston Athenaeum. Artists of the Book, 1988 : a Facet of Modernism : a Traveling Exhibition of the New England Foundation for the Arts. Boston, Mass.: Boston Athenæum, 1988. p.36."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DDNJVGUE,Lines & color,substring,0.990,195,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.195."
emitted,JHBWPGKS,Sol LeWitt : artist's books,DDNJVGUE,Lines & color,substring,0.990,,62-63,"LeWitt, Sol. Sol LeWitt: Artist’s Books. Sant’Eraclio di Foligno (Foligno): Viaindustriae, 2009. pp.62-63."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DDNJVGUE,Lines & color,substring,0.990,431,266,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.266, 431."
emitted,DHC5ATH7,Livres d'artistes,DDNJVGUE,Lines & color,substring,0.990,38,37,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. pp.37, 38."
emitted,FAEUXXHV,Booktrek : selected essays on artists' books (1972-2010),DDNJVGUE,Lines & color,substring,0.990,264,93,"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. pp.93, 264."
emitted,R9TPTHIC,"Breaking the bindings : American book art now : an exhibition of creative bookmaking produced in the United States since 1980, Elvehjem Museum of Art, 6 May-3 July 1983.",DDR8I9X5,Playfulness Works,substring,0.990,40,,"Elvehjem Museum of Art. Breaking the Bindings: American Book Art Now: an Exhibition of Creative Bookmaking Produced in the United States Since 1980, Elvehjem Museum of Art, 6 May-3 July 1983. Madison, Wis.: Elvehjem Museum of Art, 1983. [p.40]."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,DDS5NHXA,How to Enjoy the Final Mystery,substring,0.990,,357,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.357."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,DDSQQ3A9,Egyptian Spell Book,substring,0.990,,268,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.268."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DDWCJKWG,Gezeiten,substring,0.990,"298, 434",299,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.298, 299, 434."
emitted,R9TPTHIC,"Breaking the bindings : American book art now : an exhibition of creative bookmaking produced in the United States since 1980, Elvehjem Museum of Art, 6 May-3 July 1983.",DEX5ARFC,Shore Pictures,substring,0.990,20,,"Elvehjem Museum of Art. Breaking the Bindings: American Book Art Now: an Exhibition of Creative Bookmaking Produced in the United States Since 1980, Elvehjem Museum of Art, 6 May-3 July 1983. Madison, Wis.: Elvehjem Museum of Art, 1983. [p.20]."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DF8PBLPN,Alphabet,substring,0.990,199,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.199."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DFD3C67V,Yves Peintures: 10 planches en couleurs,substring,0.990,430,18,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.18, 430."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DFNS26SD,Me Ben I sign,substring,0.990,196,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.196."
emitted,DHC5ATH7,Livres d'artistes,DGAWMPBR,Le ultime parole famose,substring,0.990,,46,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. p.46."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DHETJFDK,Les petits peut-etres,substring,0.990,423,360,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.360, 423."
emitted,DHC5ATH7,Livres d'artistes,DHETJFDK,Les petits peut-etres,substring,0.990,,120,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. p.120."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DHLXDVLH,Mallarmé 1897,substring,0.990,435,,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. p.435."
emitted,EYAM3MR5,Creating artists' books,DHRSDAKG,ooooooooooooooooooooooooooooooooooo,substring,0.990,,16,"Bodman, Sarah. Creating Artists’ Books. New York: Watson-Guptill Publications, 2005. p.16."
emitted,BCG5FURQ,The century of artists' books,6NZ6I6GG,Life in a book,substring,0.990,299-300,299,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.299-300, 299."
