canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
BEGEG5AI,3,,3:BEGEG5AI; 2:P72UKN58,Artists books,1973-00-00 1973,[Moore College of Art?],Philadelphia,,,English,,,,,,,Copy consulted was obtained through Interlibrary Borrowing from Smith College library.,,Dianne Perry Vanderlip; John Perreault; Lynn Lester Hershman
2JYLEIVS,3,,3:2JYLEIVS; 2:H5CVAEDA,Artists books : a critical survey of the literature,1998-00-00 1998,Granary Books,New York,1-887123-18-0,,,,,,,,,,Artists books,Stefan Klima
7YGZYJ5L,3,,3:7YGZYJ5L; 2:ZSFCQN6J,"Artists of the book, 1988 :",1988-00-00 1988,Boston Athenæum,"Boston, Mass.",0-934552-53-3,,English,40,,,,,,,"Artists of the book, 1988",Peter A. Wick; Boston Athenaeum
LTE96PUD,3,,3:LTE96PUD,Artists who make books,2017-00-00 2017,"London ; New York : Phaidon, [2017]",,978-0-7148-7264-3,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9258765,,,Philip E. Aarons Andrew Roth
94CKQLVX,3,,3:94CKQLVX; 2:9BPXXKTG,Artists' books : a critical anthology and sourcebook,1985-00-00 1985,The Visual Studies Workshop Press ;,"Rochester, N.Y.",0898220416 :,,,,,,,,,,Artists' books,Joan Lyons
A5RE4482,3,,3:A5RE4482; 2:ZMVWENP5,Artists' books : the book as a work of art 1963-2000,2015-00-00 2015,Bernard Quaritch Ltd,London,0-9563012-9-0,,,,,,,,,,Artists' books,Stephen Bury
NGYMWIFZ,3,,3:NGYMWIFZ; 2:VMJZAER4,"Artists' books fair '94: State Library of Queensland, 24 and 25 September 1994.",1994-00-00 1994,Numero Uno,"Milton, Qld.",0-646-20433-5 978-0-646-20433-8,,English,,,,,,,,Artists' books fair '94,State Library of Queensland
GDNNXY63,3,,3:GDNNXY63,Artists' Books: Visual Studies Workshop Press,2009,Visual Studies Workshop Press,"Rochester, N.Y.",9780898221268,,,176,,,,,,OCLC: 278980825,,Joan Lyons; Johanna Drucker
3956PQ4B,3,,3:3956PQ4B; 2:2A6MDVGE,Artists' magazines: an alternative space for art,2011-00-00 2011,MIT Press,"Cambridge, Mass.",978-0-262-01519-6,,English,368,,,,,,,Artists' magazines,Gwen Allen
T55MVWEY,3,,3:T55MVWEY; 2:W6NTDVZ3,"Artwords and bookworks: an international exhibition of recent artists' books and ephemera : Los Angeles Institute of Contemporary Art, 28 February-30 March 1978 ...",1978-00-00 1978,LAICA,Los Angeles,,,English,,,,,,,,Artwords and bookworks,Judith A. Hoffberg; Los Angeles Institute of Contemporary Art.
JVG2RL8W,3,,3:JVG2RL8W; 2:26CVRRID,"At the turn of the centuries : the influence of early 20th century book arts on contemporary artists' books : three essays adapted from conference presentations given at Yale University on April 13, 2007.",2010-00-00 2010,Jenny-Press,"New Haven, Conn.",,,,,,,,,,,At the turn of the centuries,Stephen Bury; Angela Lorenz; Marcia Reed
96JND7YD,3,,3:96JND7YD; 2:HJWZFNMT,Australian artists books,2008-00-00 2008,National Gallery of Australia,"[Parkes, A.C.T.]",978-0-642-54186-4,,English,121,,"The printed image. Australia, Asia, Pacific ;; 2; Variation: Printed image, Australia, Asia, Pacific.",,,,,,Alex Selenitsch; National Gallery of Australia
DMWUAK2R,3,,3:DMWUAK2R; 2:M76M595X,Avant-Garde,0000-00-00 1990s,Libreria Maresca Riccardi,Roma,,,Italian,45,,,,,,,,Roma (Author) Libreria Maresca Riccardi
IEWF6KH8,3,,3:IEWF6KH8; 2:8IIVWRB8,Azimuts: revue de design. (intentions de textes et d'images),1995-05-00 May 1995,L'Ecole des beaux-arts de Saint-Etienne,Saint-Etienne [France],,,French,,,,,,,,Azimuts,Ecole des beaux-arts de Saint-Etienne (France)
977UYDDX,3,,3:977UYDDX; 2:BQ4A5IQW,"Beyond the book: contemporary directions. Maryatt, Kitty.",1993-00-00 1993,Scripps College Press,"[Claremont, Calif.]",,,English,,,,,,,,Beyond the book,Phyllis McGibbon; Montgomery Art Gallery; Scripps College.
L3HFQ2SA,3,,3:L3HFQ2SA; 2:3UWCG52U,Beyond the text : artists' books from the collection of Robert J. Ruben,2010-00-00 2010,Grolier Club,New York,978-1-60583-026-1,,,,,,,,,,Beyond the text,Robert Ruben; Grolier Club.; Yvonne Korshak
X37HVCXS,3,,3:X37HVCXS; 2:UFEM5QKP,"Book arts 2007, Bright Hill Center",2007-00-00 2007,Bright Hill Press,"Treadwell, N.Y.",978-1-892471-47-5,,,,,,,,,,,N Bright Hill Press North American Juried Book Arts Exhibition (6th : 2007 : Treadwell; Bright Hill Press.; Karen Hanmer; Bertha Rogers
VH6DIY2I,3,,3:VH6DIY2I; 2:WMKPIK6H,"Book arts 2008, Bright Hill Literary Center",2008-00-00 2008,Bright Hill Press,"Treadwell, NY",978-1-892471-56-7,,,,,,,,,,,N Bright Hill Press North American Juried Book Arts Exhibition (7th : 2008 : Treadwell; Bright Hill Press.; Bertha Rogers; Keith A. Smith
KHX75Z8C,3,,3:KHX75Z8C,"Book as art V : September 14, 1992-February 19, 1993",1992-00-00 1992,"Washington, D.C. : National Museum of Women in the Arts, [1992]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9754754,,Book as art V,the Library and Research Center
EXVACFS7,3,,3:EXVACFS7; 2:2IKMJ9XU,"Book as art VI: December 6, 1993-May 20, 1994, the National Museum of Women in the Arts, Washington, D.C.",1993-00-00 1993,The Museum,"Washington, D.C.",,,English,,,,,,,,Book as art VI,Krystyna Wasserman; National Museum of Women in the Arts (U. S.); National Museum of Women in the Arts (U.S.).
75SCFJ8D,3,,3:75SCFJ8D,"Book as art VII : December 19, 1994-September 8, 1995, the National Museum of Women in the Arts, Washington, D.C.",1994-00-00 1994,"Washington, D.C. : National Museum of Women in the Arts, [1994]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9754758,,Book as art VII,the Library and Research Center ; [text by Krystyna Wasserman
33R938ZR,3,,3:33R938ZR,"Book as art XI : the National Museum of Women in the Arts, Library and Research Center, July 19-December 31, 1999, Washington, D.C.",1999-00-00 1999,"Washington, D.C. : The Museum, [1999]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9754760,,Book as art XI,curator Krystyna Wasserman
